name_muni,code_muni,lat,lon
Acrelândia,1200013.0,-9.933933265843255,-66.95013337980122
Assis Brasil,1200054.0,-10.779856210777456,-70.00575597890682
Brasiléia,1200104.0,-10.747442835660637,-69.207439424796
Bujari,1200138.0,-9.61420329470034,-68.17365121146675
Capixaba,1200179.0,-10.474303966483715,-67.83583670160992
Cruzeiro Do Sul,1200203.0,-7.972055443527879,-72.75492331054339
Epitaciolândia,1200252.0,-10.889257012799602,-68.61826252990943
Feijó,1200302.0,-8.925837381074862,-70.74563320279466
Jordão,1200328.0,-9.243001553129687,-71.90617527145076
Mâncio Lima,1200336.0,-7.504516069598246,-73.43909640019083
Manoel Urbano,1200344.0,-9.3825718388935,-69.85444554146767
Marechal Thaumaturgo,1200351.0,-9.096476532188529,-72.55920312108711
Plácido De Castro,1200385.0,-10.24912593088987,-67.3403427353667
Porto Walter,1200393.0,-8.492039334732382,-72.73353021608361
Rio Branco,1200401.0,-10.066203847306282,-68.37099568855984
Rodrigues Alves,1200427.0,-7.843868491883326,-73.223555084103
Santa Rosa Do Purus,1200435.0,-9.410996860897807,-70.39595407067773
Senador Guiomard,1200450.0,-9.997383090224742,-67.42768289535464
Sena Madureira,1200500.0,-9.772361909051812,-69.38227031195548
Tarauacá,1200609.0,-8.239735462695306,-71.4449947562677
Xapuri,1200708.0,-10.575634978181236,-68.50486428478409
Porto Acre,1200807.0,-9.629541523023473,-67.69848532412304
