name_muni,code_muni,lat,lon
Água Branca,2700102.0,-9.26656822360259,-37.89857426523766
Anadia,2700201.0,-9.66300622637687,-36.31348692320593
Arapiraca,2700300.0,-9.74933127536938,-36.6409130446348
Atalaia,2700409.0,-9.504814192866343,-36.072463271287916
Barra De Santo Antônio,2700508.0,-9.38200815735275,-35.56459769446798
Barra De São Miguel,2700607.0,-9.81225970141893,-35.9466433076001
Batalha,2700706.0,-9.70685183992533,-37.10098750043036
Belém,2700805.0,-9.557458729947651,-36.49173587909209
Belo Monte,2700904.0,-9.817296743925018,-37.18885131915716
Boca Da Mata,2701001.0,-9.66888115279543,-36.178218166317606
Branquinha,2701100.0,-9.222991864964808,-36.04176653396776
Cacimbinhas,2701209.0,-9.44687964400882,-36.921901488992695
Cajueiro,2701308.0,-9.393364784220607,-36.16012782972428
Campestre,2701357.0,-8.893443025894737,-35.54052539741663
Campo Alegre,2701407.0,-9.814873442271855,-36.28296901100348
Campo Grande,2701506.0,-9.967039197713296,-36.746380728128194
Canapi,2701605.0,-9.125431960721386,-37.528491733391384
Capela,2701704.0,-9.345893992439889,-36.09323772755839
Carneiros,2701803.0,-9.462835440561797,-37.36809829169602
Chã Preta,2701902.0,-9.242397297744898,-36.28179131254439
Coité Do Nóia,2702009.0,-9.629920030106975,-36.58223676420875
Colônia Leopoldina,2702108.0,-8.94187252167677,-35.76007760377197
Coqueiro Seco,2702207.0,-9.642282174776579,-35.808614628575384
Coruripe,2702306.0,-10.082527792082479,-36.23046384362521
Craíbas,2702355.0,-9.62957086303932,-36.78809654792714
Delmiro Gouveia,2702405.0,-9.397617494432081,-38.04701928835647
Dois Riachos,2702504.0,-9.383736457314559,-37.070163737777506
Estrela De Alagoas,2702553.0,-9.393445203674075,-36.77030070415632
Feira Grande,2702603.0,-9.889360609412046,-36.662949409945746
Feliz Deserto,2702702.0,-10.283392531114188,-36.33575694880305
Flexeiras,2702801.0,-9.245321983765535,-35.763892892069535
Girau Do Ponciano,2702900.0,-9.793321029160412,-36.850099996817114
Ibateguara,2703007.0,-8.954253812459308,-35.89609432851609
Igaci,2703106.0,-9.543418931374305,-36.68196245070113
Igreja Nova,2703205.0,-10.139653990322257,-36.61999248916295
Inhapi,2703304.0,-9.271812578148019,-37.69219550391736
Jacaré Dos Homens,2703403.0,-9.652044145836312,-37.22796586083096
Jacuípe,2703502.0,-8.883621232769595,-35.447125842254856
Japaratinga,2703601.0,-9.083438893290467,-35.29810478573245
Jaramataia,2703700.0,-9.657825284007604,-36.9939836839052
Jequiá Da Praia,2703759.0,-9.92138314526626,-36.09714654962192
Joaquim Gomes,2703809.0,-9.07940266481238,-35.778484481897515
Jundiá,2703908.0,-8.962361181525504,-35.53668530274439
Junqueiro,2704005.0,-9.856585595242237,-36.44076384750986
Lagoa Da Canoa,2704104.0,-9.799844552182837,-36.735947699768836
Limoeiro De Anadia,2704203.0,-9.732317490111862,-36.46775184644515
Maceió,2704302.0,-9.522509790233801,-35.71140664210351
Major Isidoro,2704401.0,-9.542702359830109,-37.010777348983936
Maragogi,2704500.0,-8.951841833869157,-35.26911960486418
Maravilha,2704609.0,-9.243971028684472,-37.399032706314415
Marechal Deodoro,2704708.0,-9.715234040083988,-35.90966101795023
Maribondo,2704807.0,-9.559270919989217,-36.295574718478605
Mar Vermelho,2704906.0,-9.472909702145458,-36.40317970946653
Mata Grande,2705002.0,-9.052206663538625,-37.75664297299567
Matriz De Camaragibe,2705101.0,-9.10448407592894,-35.581603478476254
Messias,2705200.0,-9.343697985087985,-35.81245505667148
Minador Do Negrão,2705309.0,-9.336946075967038,-36.86360327822156
Monteirópolis,2705408.0,-9.600627887662226,-37.2960692878443
Murici,2705507.0,-9.290632869633596,-35.92399357467135
Novo Lino,2705606.0,-8.963009718346767,-35.629099052120125
Olho D'água Das Flores,2705705.0,-9.531846505200209,-37.25872066308621
Olho D'água Do Casado,2705804.0,-9.435848559306134,-37.813109254135476
Olho D'água Grande,2705903.0,-10.056159903413285,-36.79340360701309
Olivença,2706000.0,-9.48910649714947,-37.17746810899273
Ouro Branco,2706109.0,-9.127681061790346,-37.3638076829604
Palestina,2706208.0,-9.689008504913598,-37.302818008851716
Palmeira Dos Índios,2706307.0,-9.418265948855073,-36.60561838160716
Pão De Açúcar,2706406.0,-9.670672434674147,-37.48547644952296
Pariconha,2706422.0,-9.240535767165193,-38.04742839490275
Paripueira,2706448.0,-9.435625933145635,-35.59358538166903
Passo De Camaragibe,2706505.0,-9.2560116251325,-35.49991656226035
Paulo Jacinto,2706604.0,-9.377735387321392,-36.40968270449542
Penedo,2706703.0,-10.231404279391965,-36.48234263683725
Piaçabuçu,2706802.0,-10.387113001311015,-36.40161918095497
Pilar,2706901.0,-9.615286432526165,-36.004711364215204
Pindoba,2707008.0,-9.476009027942112,-36.28553156872854
Piranhas,2707107.0,-9.526006849577275,-37.72510464557891
Poço Das Trincheiras,2707206.0,-9.29873754835849,-37.32017684162416
Porto Calvo,2707305.0,-9.026005074248868,-35.42684503411614
Porto De Pedras,2707404.0,-9.14360569834085,-35.40675981114122
Porto Real Do Colégio,2707503.0,-10.119846416297074,-36.7361970095618
Quebrangulo,2707602.0,-9.303100414555098,-36.46107050483075
Rio Largo,2707701.0,-9.480086404816591,-35.86449622258694
Roteiro,2707800.0,-9.868786148308764,-35.98025711123597
Santa Luzia Do Norte,2707909.0,-9.612058293425228,-35.82986441549735
Santana Do Ipanema,2708006.0,-9.35836185743069,-37.21077645729097
Santana Do Mundaú,2708105.0,-9.131015430465519,-36.19140496349031
São Brás,2708204.0,-10.108701229971123,-36.86185348568228
São José Da Laje,2708303.0,-8.987395994140611,-36.039966506022544
São José Da Tapera,2708402.0,-9.532929936228719,-37.489664330831076
São Luís Do Quitunde,2708501.0,-9.24980142572184,-35.63416255549916
São Miguel Dos Campos,2708600.0,-9.772793891078946,-36.100819225368056
São Miguel Dos Milagres,2708709.0,-9.230815943953669,-35.40691524344406
São Sebastião,2708808.0,-9.963240413522342,-36.550242499374484
Satuba,2708907.0,-9.578186060209815,-35.84549235102616
Senador Rui Palmeira,2708956.0,-9.390882379940113,-37.51117699684891
Tanque D'arca,2709004.0,-9.55786754151486,-36.422803164147474
Taquarana,2709103.0,-9.624564893983985,-36.49529024188322
Teotônio Vilela,2709152.0,-9.964732678443774,-36.371536220904424
Traipu,2709202.0,-9.896653354436358,-36.96919494653096
União Dos Palmares,2709301.0,-9.120405577418454,-36.01454346292207
Viçosa,2709400.0,-9.359313302014472,-36.265050671090734
