name_muni,code_muni,lat,lon
Alvarães,1300029.0,-3.694759114500302,-65.32444951334328
Amaturá,1300060.0,-3.418475930280223,-68.28653443725239
Anamã,1300086.0,-3.5018934501046997,-61.718047740566426
Anori,1300102.0,-4.198843375139358,-62.09556310105274
Apuí,1300144.0,-7.761210218408569,-59.43210961901372
Atalaia Do Norte,1300201.0,-5.713313034260629,-71.74189890338566
Autazes,1300300.0,-3.7873307154218563,-59.52553473710015
Barcelos,1300409.0,-0.4652833223084221,-63.4347285010524
Barreirinha,1300508.0,-3.1291829468036814,-57.17242649188173
Benjamin Constant,1300607.0,-5.42830016407596,-70.27657734094761
Beruri,1300631.0,-4.606559566642554,-61.80440749537533
Boa Vista Do Ramos,1300680.0,-3.1378746479810484,-57.6700846265739
Boca Do Acre,1300706.0,-8.773660551977265,-68.0474484666495
Borba,1300805.0,-4.958641836706519,-59.53452126667449
Caapiranga,1300839.0,-3.0821174590806915,-61.87767682615387
Canutama,1300904.0,-7.302472501102279,-64.06190855139232
Carauari,1301001.0,-5.119027179881712,-67.33771277888842
Careiro,1301100.0,-3.7705719763477688,-60.1833381285418
Careiro Da Várzea,1301159.0,-3.28607218610082,-59.59863508194801
Coari,1301209.0,-4.437442622861204,-64.12566554351925
Codajás,1301308.0,-3.2892611332916193,-62.97306877658172
Eirunepé,1301407.0,-7.02230984697124,-70.21848505247047
Envira,1301506.0,-7.573390633633847,-70.05510206111794
Fonte Boa,1301605.0,-2.4910765043143543,-66.35791079944697
Guajará,1301654.0,-7.22988951690866,-72.84459561831213
Humaitá,1301704.0,-7.362474573490345,-62.486495758130474
Ipixuna,1301803.0,-7.1807092816963305,-71.41301513091892
Iranduba,1301852.0,-3.0952836825046757,-60.47961586984703
Itacoatiara,1301902.0,-3.174180442612689,-58.77529274236224
Itamarati,1301951.0,-6.68304815090314,-68.11286250679422
Itapiranga,1302009.0,-2.4972605419591383,-58.61328212586751
Japurá,1302108.0,-1.6973290701145918,-68.32111568038154
Juruá,1302207.0,-3.5249017275997034,-66.30795299582147
Jutaí,1302306.0,-4.717739839719268,-68.40748887423524
Lábrea,1302405.0,-8.377373711530444,-65.81205804465772
Manacapuru,1302504.0,-3.291620166547445,-60.95873574632158
Manaquiri,1302553.0,-3.779133793255949,-60.697306091845554
Manaus,1302603.0,-2.626111721502806,-60.259534083548296
Manicoré,1302702.0,-6.462865832531545,-61.44696970341634
Maraã,1302801.0,-2.427164800243331,-65.03937279695401
Maués,1302900.0,-4.987421712405212,-58.061432264339246
Nhamundá,1303007.0,-1.6808502939440209,-57.65599207339656
Nova Olinda Do Norte,1303106.0,-3.9896264056660233,-58.59967238855186
Novo Airão,1303205.0,-2.048529878045991,-61.703534791704
Novo Aripuanã,1303304.0,-6.827873516295843,-60.4779891449212
Parintins,1303403.0,-2.6880603342012686,-56.85460389112057
Pauini,1303502.0,-7.7583000456494435,-68.19720667264342
Presidente Figueiredo,1303536.0,-1.3711351825730986,-59.98951496060682
Rio Preto Da Eva,1303569.0,-2.52985501590452,-59.63836672415092
Santa Isabel Do Rio Negro,1303601.0,-0.31845709306056835,-65.5213813314143
Santo Antônio Do Içá,1303700.0,-3.0530113517115525,-69.08940674215785
São Gabriel Da Cachoeira,1303809.0,0.37500889182764396,-67.99693377509357
São Paulo De Olivença,1303908.0,-4.502856817222263,-69.45159360505683
São Sebastião Do Uatumã,1303957.0,-1.941886796523232,-58.70522021541821
Silves,1304005.0,-2.820564595679511,-58.537047152569386
Tabatinga,1304062.0,-4.028547692398726,-69.67811443094277
Tapauá,1304104.0,-6.094579223217003,-64.95650263472123
Tefé,1304203.0,-4.470829537179926,-65.53204479664977
Tonantins,1304237.0,-2.6918734504355353,-67.82618237628414
Uarini,1304260.0,-3.165888781662854,-65.41088835834113
Urucará,1304302.0,-0.8946212724546899,-59.02947824162893
Urucurituba,1304401.0,-2.8137305422348984,-57.77121247207751
