name_muni,code_muni,lat,lon
Abaíra,2900108.0,-13.296602835188855,-41.74282979482903
Abaré,2900207.0,-8.833573394819489,-39.317656822592916
Acajutiba,2900306.0,-11.663114542969677,-38.000577998481404
Adustina,2900355.0,-10.56231258335978,-38.03766615975698
Água Fria,2900405.0,-11.82318775566074,-38.7104891141232
Érico Cardoso,2900504.0,-13.400262209586367,-42.06733291399463
Aiquara,2900603.0,-14.091848901550438,-39.880830288590865
Alagoinhas,2900702.0,-12.11315153593347,-38.40224116511191
Alcobaça,2900801.0,-17.469257843638946,-39.40947771244899
Almadina,2900900.0,-14.70132218888383,-39.66413327382185
Amargosa,2901007.0,-13.040871671191397,-39.626282136250566
Amélia Rodrigues,2901106.0,-12.421263280852964,-38.720503898385346
América Dourada,2901155.0,-11.406326828489474,-41.52299922663399
Anagé,2901205.0,-14.589986186795008,-40.92777952020222
Andaraí,2901304.0,-12.733858560961899,-41.21513709726919
Andorinha,2901353.0,-10.280869277457318,-39.87193570004003
Angical,2901403.0,-11.996689539244793,-44.64769027302122
Anguera,2901502.0,-12.18302621838401,-39.192756022640765
Antas,2901601.0,-10.40709719937538,-38.29417203918027
Antônio Cardoso,2901700.0,-12.379973741064893,-39.146953987883386
Antônio Gonçalves,2901809.0,-10.601445359046261,-40.362174394902794
Aporá,2901908.0,-11.731649390177475,-38.193882359204686
Apuarema,2901957.0,-13.820066494054682,-39.75152020867327
Aracatu,2902005.0,-14.37129722079805,-41.37461673045303
Araçás,2902054.0,-12.173006551576607,-38.21245635985684
Araci,2902104.0,-11.212626862376743,-39.064357636080146
Aramari,2902203.0,-12.050791295945203,-38.525002612734426
Arataca,2902252.0,-15.243289234034954,-39.41220702019119
Aratuípe,2902302.0,-13.084662474125297,-39.06931290426971
Aurelino Leal,2902401.0,-14.36209934305075,-39.47831723076781
Baianópolis,2902500.0,-12.657345903885057,-44.44018250329865
Baixa Grande,2902609.0,-11.964812494211616,-40.15273213717228
Banzaê,2902658.0,-10.616409220197458,-38.65427618499137
Barra,2902708.0,-11.031362329808138,-43.36627517464196
Barra Da Estiva,2902807.0,-13.650571504458991,-41.0980873657875
Barra Do Choça,2902906.0,-14.913091650722377,-40.58126673646986
Barra Do Mendes,2903003.0,-11.967226617079067,-42.114355760427024
Barra Do Rocha,2903102.0,-14.102695749771923,-39.58803991073124
Barreiras,2903201.0,-12.013263049284634,-45.5423700514796
Barro Alto,2903235.0,-11.848027899056028,-41.836843469989525
Barrocas,2903276.0,-11.538012677241756,-39.094965187427526
Barro Preto,2903300.0,-14.775854472742383,-39.44469469781265
Belmonte,2903409.0,-15.935419063823,-39.17728850460655
Belo Campo,2903508.0,-14.998675404922846,-41.20386943758151
Biritinga,2903607.0,-11.585348881411107,-38.79264633369029
Boa Nova,2903706.0,-14.360262808742952,-40.230064816578796
Boa Vista Do Tupim,2903805.0,-12.770328365544286,-40.670213835805306
Bom Jesus Da Lapa,2903904.0,-13.277485264708798,-43.29337039321974
Bom Jesus Da Serra,2903953.0,-14.389934679552693,-40.57731772492544
Boninal,2904001.0,-12.776684764203603,-41.802537671701984
Bonito,2904050.0,-11.969262348336414,-41.32042997383834
Boquira,2904100.0,-12.741188759027377,-42.72228722363874
Botuporã,2904209.0,-13.326223866462856,-42.53471645523769
Brejões,2904308.0,-13.075448350477757,-39.85067706572465
Brejolândia,2904407.0,-12.499444931258646,-43.82478935506197
Brotas De Macaúbas,2904506.0,-12.086800509992747,-42.46508131878937
Brumado,2904605.0,-14.168071174844481,-41.68909186596037
Buerarema,2904704.0,-14.996387729153028,-39.26952949564429
Buritirama,2904753.0,-10.588240947697713,-43.66758392358091
Caatiba,2904803.0,-14.995865976439212,-40.364100130006115
Cabaceiras Do Paraguaçu,2904852.0,-12.56428169999631,-39.192364269555945
Cachoeira,2904902.0,-12.646785759007189,-38.884840374073725
