name_muni,code_muni,lat,lon
Abaiara,2300101.0,-7.360574621345437,-39.03689748699324
Acarape,2300150.0,-4.216775658531068,-38.662191167453166
Acaraú,2300200.0,-2.968090314442173,-40.08797988231889
Acopiara,2300309.0,-6.122038197237483,-39.49383995678378
Aiuaba,2300408.0,-6.6051572288582525,-40.29853688037737
Alcântaras,2300507.0,-3.5922273454521845,-40.54299721074813
Altaneira,2300606.0,-6.985618276704539,-39.69920165085777
Alto Santo,2300705.0,-5.5166872764157455,-38.19864682450266
Amontada,2300754.0,-3.2395773366693184,-39.78505731688888
Antonina Do Norte,2300804.0,-6.756597615661704,-39.98141940706692
Apuiarés,2300903.0,-3.96832164858223,-39.33071968747882
Aquiraz,2301000.0,-3.976506380036561,-38.39390230488401
Aracati,2301109.0,-4.680828815031085,-37.68559331792619
Aracoiaba,2301208.0,-4.482952647764667,-38.71347128129844
Ararendá,2301257.0,-4.772977030210754,-40.74616367805159
Araripe,2301307.0,-7.2392149488171675,-40.076608242236794
Aratuba,2301406.0,-4.417324023834,-39.02497720633003
Arneiroz,2301505.0,-6.239342490062062,-40.15493931032544
Assaré,2301604.0,-6.9096683508453225,-39.86920263494444
Aurora,2301703.0,-6.988950645770106,-38.969161554933
Baixio,2301802.0,-6.711395992534823,-38.75300305827373
Banabuiú,2301851.0,-5.262223390047953,-38.90373145337013
Barbalha,2301901.0,-7.4037706180845175,-39.34457600770152
Barreira,2301950.0,-4.322122481808902,-38.62039002660981
Barro,2302008.0,-7.125599889518395,-38.793995267253244
Barroquinha,2302057.0,-2.9706294331872187,-41.17359946009721
Baturité,2302107.0,-4.383332383653612,-38.85098813364248
Beberibe,2302206.0,-4.401739118181118,-38.11284901597442
Bela Cruz,2302305.0,-3.053424547713468,-40.30803328361102
Boa Viagem,2302404.0,-5.087909210930092,-39.80794172841361
Brejo Santo,2302503.0,-7.555680639088629,-38.92137092178018
Camocim,2302602.0,-2.9497820607627068,-40.80092471345045
Campos Sales,2302701.0,-6.93667145606966,-40.27122470600556
Canindé,2302800.0,-4.40218070053205,-39.43031629280757
Capistrano,2302909.0,-4.467808997779225,-38.90795522119056
Caridade,2303006.0,-4.203820238289413,-39.1098706825603
Cariré,2303105.0,-3.9518569318099988,-40.52164392191395
Caririaçu,2303204.0,-7.021898445007794,-39.27497468816127
Cariús,2303303.0,-6.642036417968521,-39.46414245173726
Carnaubal,2303402.0,-4.130160547080536,-41.010228195225714
Cascavel,2303501.0,-4.239161948608901,-38.297010320447285
Catarina,2303600.0,-6.252765353680123,-39.90966539422109
Catunda,2303659.0,-4.6295943571455,-40.175014046613704
Caucaia,2303709.0,-3.7836106199621145,-38.809717487377775
Cedro,2303808.0,-6.5697435568502724,-39.093150040808595
Chaval,2303907.0,-3.0925871541796,-41.23266286790376
Choró,2303931.0,-4.7723689620989775,-39.191148652299574
Chorozinho,2303956.0,-4.302272262507165,-38.46833397658758
Coreaú,2304004.0,-3.6415486126569,-40.72623207792036
Crateús,2304103.0,-5.1993368137611755,-40.719544354579185
Crato,2304202.0,-7.235646767477191,-39.489905690910604
Croatá,2304236.0,-4.387680040130625,-40.97514987033758
Cruz,2304251.0,-2.8964394810548915,-40.32342225815678
Deputado Irapuan Pinheiro,2304269.0,-5.887108075632718,-39.266202879490415
Ereré,2304277.0,-5.985055795768855,-38.31197537262252
Eusébio,2304285.0,-3.8759006330261982,-38.45758823824846
Farias Brito,2304301.0,-6.909497497292982,-39.549102778507425
Forquilha,2304350.0,-3.822417035119068,-40.22550637388259
Fortaleza,2304400.0,-3.785739530763089,-38.528039121112165
Fortim,2304459.0,-4.464339518092937,-37.87371160438903
Frecheirinha,2304509.0,-3.7107679782665897,-40.822703240661056
General Sampaio,2304608.0,-4.06393751471388,-39.45111259047972
Graça,2304657.0,-4.0456263185646355,-40.77387131074376
Granja,2304707.0,-3.230613156124591,-41.0017867125909
Granjeiro,2304806.0,-6.911609477889913,-39.2520144760583
Groaíras,2304905.0,-3.9124083023662464,-40.365305466839146
Guaiúba,2304954.0,-4.102375116815544,-38.669913312799096
Guaraciaba Do Norte,2305001.0,-4.232772957959933,-40.91528674316484
Guaramiranga,2305100.0,-4.246616005129608,-38.9565690294443
Hidrolândia,2305209.0,-4.432613935251258,-40.40508629709466
Horizonte,2305233.0,-4.102158622375495,-38.465056539347096
Ibaretama,2305266.0,-4.779961806332258,-38.7248344760818
Ibiapina,2305308.0,-3.9511398573017162,-41.00620556121771
Ibicuitinga,2305332.0,-4.9746097582144255,-38.556909958590545
Icapuí,2305357.0,-4.7386291187079586,-37.41045307745958
Icó,2305407.0,-6.389057043453881,-38.78342225764347
Iguatu,2305506.0,-6.358506480248412,-39.281811279809524
Independência,2305605.0,-5.473833384323913,-40.34135945433437
Ipaporanga,2305654.0,-4.90968679309117,-40.80421373973112
Ipaumirim,2305704.0,-6.809186814681047,-38.74310230143875
Ipu,2305803.0,-4.3696787450319805,-40.66915425787523
Ipueiras,2305902.0,-4.572756950672973,-40.8768835197826
Iracema,2306009.0,-5.778164769639411,-38.33828704659723
Irauçuba,2306108.0,-3.8658374419924395,-39.81764868017469
Itaiçaba,2306207.0,-4.717574037297857,-37.84741160240619
Itaitinga,2306256.0,-3.9980857166952184,-38.549932976852396
Itapajé,2306306.0,-3.7328300323221533,-39.57499628177799
Itapipoca,2306405.0,-3.395268066885098,-39.598249568351164
Itapiúna,2306504.0,-4.5954929458033575,-38.95217508378009
Itarema,2306553.0,-3.0499558600144896,-39.88900565406975
Itatira,2306603.0,-4.625514940339801,-39.578302945415416
Jaguaretama,2306702.0,-5.4918581984372725,-38.74794194877931
Jaguaribara,2306801.0,-5.611066913841101,-38.5250287950855
Jaguaribe,2306900.0,-5.96140009232768,-38.70499190876143
Jaguaruana,2307007.0,-4.86574365618556,-37.74663990045048
Jardim,2307106.0,-7.590450658427578,-39.248020680302595
Jati,2307205.0,-7.691943471869685,-38.99226633640652
Jijoca De Jericoacoara,2307254.0,-2.8778106669699155,-40.49533217666103
Juazeiro Do Norte,2307304.0,-7.18277003860058,-39.286078266219626
Jucás,2307403.0,-6.458034554735317,-39.6072102641287
Lavras Da Mangabeira,2307502.0,-6.7780055148861855,-38.99464070723985
Limoeiro Do Norte,2307601.0,-5.158174107208545,-38.04601796652325
Madalena,2307635.0,-4.8579541441378975,-39.5089625318291
Maracanaú,2307650.0,-3.8745159453993185,-38.62711061757026
Maranguape,2307700.0,-4.006709656570237,-38.81218870250635
Marco,2307809.0,-3.1894962975580485,-40.26150972325999
Martinópole,2307908.0,-3.169616559486061,-40.64877951861162
Massapê,2308005.0,-3.484267889466831,-40.387613321653234
Mauriti,2308104.0,-7.397814423726682,-38.7173817791758
Meruoca,2308203.0,-3.578587018548519,-40.450830752726255
Milagres,2308302.0,-7.272151802054913,-38.943021568911156
Milhã,2308351.0,-5.640916818064429,-39.17113370768763
Miraíma,2308377.0,-3.5605360270549227,-39.90862169536331
Missão Velha,2308401.0,-7.30649908654276,-39.15292747104699
Mombaça,2308500.0,-5.788109675513315,-39.74845454005462
Monsenhor Tabosa,2308609.0,-4.914661605206672,-40.04461435329803
Morada Nova,2308708.0,-5.0349028855220075,-38.432954492030035
Moraújo,2308807.0,-3.461150327071907,-40.67970339384625
Morrinhos,2308906.0,-3.2840526679805153,-40.08937150214578
Mucambo,2309003.0,-3.897832545384196,-40.755906960686936
Mulungu,2309102.0,-4.3193622356417745,-38.99315649056442
Nova Olinda,2309201.0,-7.093315015323533,-39.66505340291474
Nova Russas,2309300.0,-4.679862591897049,-40.52868052195224
Novo Oriente,2309409.0,-5.592710340434876,-40.77096400626035
Ocara,2309458.0,-4.526479372247541,-38.5072987209263
Orós,2309508.0,-6.2442530462998285,-38.9447819773476
Pacajus,2309607.0,-4.183782110061195,-38.498310323824896
Pacatuba,2309706.0,-3.95240544513923,-38.597188505188704
Pacoti,2309805.0,-4.198882883740014,-38.902093931882554
