name_muni,code_muni,lat,lon
Afonso Cláudio,3200102.0,-20.08949874319439,-41.126499711443074
Águia Branca,3200136.0,-18.970368975373326,-40.74950241996614
Água Doce Do Norte,3200169.0,-18.51674806542683,-40.99683400269204
Alegre,3200201.0,-20.719522716318888,-41.51499710672491
Alfredo Chaves,3200300.0,-20.563910261833108,-40.82693476578034
Alto Rio Novo,3200359.0,-19.02201256249974,-40.98717016028896
Anchieta,3200409.0,-20.71879727775615,-40.68620305377627
Apiacá,3200508.0,-21.07224924375661,-41.554178575436204
Aracruz,3200607.0,-19.76579772909073,-40.17614474394494
Atílio Vivácqua,3200706.0,-20.96223885009067,-41.183964845946186
Baixo Guandu,3200805.0,-19.57272149527323,-40.983873302688764
Barra De São Francisco,3200904.0,-18.66615135487773,-40.831208015528475
Boa Esperança,3201001.0,-18.484775237905364,-40.32915634422647
Bom Jesus Do Norte,3201100.0,-21.084528608374974,-41.6338408138807
Brejetuba,3201159.0,-20.125412399952676,-41.2969751415387
Cachoeiro De Itapemirim,3201209.0,-20.766163950334615,-41.190989668723255
Cariacica,3201308.0,-20.290703951999436,-40.44199687922035
Castelo,3201407.0,-20.551780794228417,-41.2040132209919
Colatina,3201506.0,-19.488297179258463,-40.6567507190264
Conceição Da Barra,3201605.0,-18.445427690638116,-39.83330147084498
Conceição Do Castelo,3201704.0,-20.3708987232232,-41.26587989963507
Divino De São Lourenço,3201803.0,-20.586848026735773,-41.72438915094373
Domingos Martins,3201902.0,-20.307837950850686,-40.84900474756309
Dores Do Rio Preto,3202009.0,-20.63500321700132,-41.81208714070605
Ecoporanga,3202108.0,-18.26574550903832,-40.807706992859174
Fundão,3202207.0,-19.96834172718411,-40.3567880017294
Governador Lindenberg,3202256.0,-19.205413635877367,-40.50008761678046
Guaçuí,3202306.0,-20.763412000449076,-41.70522926304321
Guarapari,3202405.0,-20.585144361438257,-40.546005307416436
Ibatiba,3202454.0,-20.25077572788171,-41.55022968484674
Ibiraçu,3202504.0,-19.834826678168366,-40.41779038622235
Ibitirama,3202553.0,-20.485954467006223,-41.69262079179978
Iconha,3202603.0,-20.755009783139837,-40.857447001920185
Irupi,3202652.0,-20.331212814148675,-41.636715203260245
Itaguaçu,3202702.0,-19.728676348324704,-40.86464916372354
Itapemirim,3202801.0,-20.965748268142164,-40.94466929934118
Itarana,3202900.0,-19.950005109027735,-40.88892299203618
Iúna,3203007.0,-20.348412982026446,-41.65657738103607
Jaguaré,3203056.0,-18.94994224717148,-40.00367179773082
Jerônimo Monteiro,3203106.0,-20.804549349810813,-41.392203714334805
João Neiva,3203130.0,-19.71548429208255,-40.436879194286405
Laranja Da Terra,3203163.0,-19.872663514712634,-41.05772530375282
Linhares,3203205.0,-19.382848947909668,-40.0294349090597
Mantenópolis,3203304.0,-18.87649904838411,-41.0717300423443
Marataízes,3203320.0,-21.10002367460271,-40.89352433008644
Marechal Floriano,3203346.0,-20.431218785120517,-40.773932996773624
Marilândia,3203353.0,-19.429721885162447,-40.520688630538245
Mimoso Do Sul,3203403.0,-21.088680932971478,-41.376794955523174
Montanha,3203502.0,-18.138903427030375,-40.27517056186206
Mucurici,3203601.0,-18.014896884747444,-40.5125133933866
Muniz Freire,3203700.0,-20.426984236983305,-41.4350769676347
Muqui,3203809.0,-20.938341489248696,-41.343873266536924
Nova Venécia,3203908.0,-18.698619231183674,-40.52248553869653
Pancas,3204005.0,-19.14693353975893,-40.81779182067729
Pedro Canário,3204054.0,-18.182403283182552,-40.03716266460582
Pinheiros,3204104.0,-18.369909800004013,-40.198126792402164
Piúma,3204203.0,-20.837789218897644,-40.772449451168626
Ponto Belo,3204252.0,-18.25085201292818,-40.51427032851517
Presidente Kennedy,3204302.0,-21.140807241869947,-41.07201477387325
Rio Bananal,3204351.0,-19.230548891334927,-40.308190195476435
Rio Novo Do Sul,3204401.0,-20.818052174938206,-40.91873261364216
Santa Leopoldina,3204500.0,-20.123224162554443,-40.53923066653806
Santa Maria De Jetibá,3204559.0,-20.085182205095236,-40.806416293633774
Santa Teresa,3204609.0,-19.879260793063494,-40.63492509830265
São Domingos Do Norte,3204658.0,-19.12240634612954,-40.566629878846236
São Gabriel Da Palha,3204708.0,-18.952734316194928,-40.508411583726414
São José Do Calçado,3204807.0,-20.982788334400638,-41.65564781788151
São Mateus,3204906.0,-18.74979497056283,-40.020245161874314
São Roque Do Canaã,3204955.0,-19.719790953168314,-40.67940632547228
Serra,3205002.0,-20.128147603873245,-40.30156638172352
Sooretama,3205010.0,-19.072732796346788,-40.146579096036334
Vargem Alta,3205036.0,-20.647138135634407,-41.0049227596221
Venda Nova Do Imigrante,3205069.0,-20.370395228323595,-41.14032285632203
Viana,3205101.0,-20.401023408538013,-40.51271993988195
Vila Pavão,3205150.0,-18.61428738231834,-40.62721570334828
Vila Valério,3205176.0,-18.966651096260257,-40.329497662890454
Vila Velha,3205200.0,-20.434001535669395,-40.378072193286876
Vitória,3205309.0,-20.304072049294412,-39.08570159499651
