name_muni,code_muni,lat,lon
Abadia De Goiás,5200050.0,-16.78555644593758,-49.45379070096274
Abadiânia,5200100.0,-16.18690951575339,-48.7134870369905
Acreúna,5200134.0,-17.45228052626237,-50.32608670674561
Adelândia,5200159.0,-16.36938462387599,-50.18464552415953
Água Fria De Goiás,5200175.0,-14.906634662156408,-47.79546975511535
Água Limpa,5200209.0,-18.078000358324374,-48.791774494285754
Águas Lindas De Goiás,5200258.0,-15.755641711461925,-48.286080507852255
Alexânia,5200308.0,-16.089102318190232,-48.482358152057905
Aloândia,5200506.0,-17.693289520776137,-49.46536045843599
Alto Horizonte,5200555.0,-14.171306004760241,-49.429001144526055
Alto Paraíso De Goiás,5200605.0,-14.183090050642775,-47.53522802907959
Alvorada Do Norte,5200803.0,-14.566469920521104,-46.63176441398619
Amaralina,5200829.0,-13.842529494216501,-49.615361051690755
Americano Do Brasil,5200852.0,-16.26108744428365,-50.00121478444976
Amorinópolis,5200902.0,-16.62656796969943,-51.10723844817383
Anápolis,5201108.0,-16.290750991434447,-48.97353737541384
Anhanguera,5201207.0,-18.312323087235406,-48.22538997182859
Anicuns,5201306.0,-16.397567483853045,-49.96805474007019
Aparecida De Goiânia,5201405.0,-16.80985725946212,-49.26283043998727
Aparecida Do Rio Doce,5201454.0,-18.21687021493861,-51.26307913246509
Aporé,5201504.0,-18.768321361269606,-52.04524592963674
Araçu,5201603.0,-16.36588273855643,-49.70150440089818
Aragarças,5201702.0,-15.970247645951686,-52.14686339744686
Aragoiânia,5201801.0,-16.95180312586968,-49.4191785253515
Araguapaz,5202155.0,-15.13924169541896,-50.43956136488914
Arenópolis,5202353.0,-16.353621531954527,-51.5844649779801
Aruanã,5202502.0,-14.806361585212938,-50.93748841124333
Aurilândia,5202601.0,-16.69514279536664,-50.52591596576208
Avelinópolis,5202809.0,-16.49267372571775,-49.765990056498005
Baliza,5203104.0,-16.360054835423053,-52.438199794675825
Barro Alto,5203203.0,-14.907618432923991,-48.88119654973638
Bela Vista De Goiás,5203302.0,-16.95752277654803,-48.91154432212782
Bom Jardim De Goiás,5203401.0,-16.168440838972803,-52.07242819642291
Bom Jesus De Goiás,5203500.0,-18.189145009168662,-49.87844270482771
Bonfinópolis,5203559.0,-16.601889850659468,-49.01036439271083
Bonópolis,5203575.0,-13.571935478936803,-49.86355345462113
Brazabrantes,5203609.0,-16.387755494034046,-49.37810878148783
Britânia,5203807.0,-15.236692343696479,-51.208192942467875
Buriti Alegre,5203906.0,-18.125185874636497,-49.00740158020778
Buriti De Goiás,5203939.0,-16.169913515671237,-50.4529825758611
Buritinópolis,5203962.0,-14.407003812343431,-46.29665355681824
Cabeceiras,5204003.0,-15.759808001464805,-46.99238775548728
Cachoeira Alta,5204102.0,-18.543112540999083,-50.982025601381025
Cachoeira De Goiás,5204201.0,-16.72065149342659,-50.699397011892735
Cachoeira Dourada,5204250.0,-18.490301066889035,-49.62300085451975
Caçu,5204300.0,-18.701583577186206,-51.13046785162652
Caiapônia,5204409.0,-17.0073998030939,-51.81468726587819
Caldas Novas,5204508.0,-17.70949664637715,-48.64699266226958
Caldazinha,5204557.0,-16.742149050590914,-48.972182894101415
Campestre De Goiás,5204607.0,-16.787276570343938,-49.70001608045609
Campinaçu,5204656.0,-13.884996952461135,-48.56815283522472
Campinorte,5204706.0,-14.04507645801451,-48.975323929510125
Campo Alegre De Goiás,5204805.0,-17.551717948860674,-47.76847202505534
Campo Limpo De Goiás,5204854.0,-16.285924003854905,-49.103470692640876
Campos Belos,5204904.0,-12.999901731044275,-46.510669097929885
Campos Verdes,5204953.0,-14.199897570794137,-49.66046219190382
