name_muni,code_muni,lat,lon
Açailândia,2100055.0,-4.785930142628028,-47.33239080813222
Afonso Cunha,2100105.0,-4.214799547894297,-43.29738855192177
Água Doce Do Maranhão,2100154.0,-2.9465378190671774,-42.166257434341404
Alcântara,2100204.0,-2.3792524192046844,-44.539846342371256
Aldeias Altas,2100303.0,-4.502856700011401,-43.38340679291574
Altamira Do Maranhão,2100402.0,-4.167065446508514,-45.502786661837156
Alto Alegre Do Maranhão,2100436.0,-4.2106438952864975,-44.39583719966702
Alto Alegre Do Pindaré,2100477.0,-3.8703634361746593,-46.00174120951969
Alto Parnaíba,2100501.0,-9.509045897689287,-46.213294902702785
Amapá Do Maranhão,2100550.0,-1.6730617875937688,-45.94799677675618
Amarante Do Maranhão,2100600.0,-5.278547812272266,-46.582024210536694
Anajatuba,2100709.0,-3.2557287127500647,-44.59893448596153
Anapurus,2100808.0,-3.543949135388596,-43.10774791621155
Apicum-Açu,2100832.0,-1.5355306328293636,-45.0873783062317
Araguanã,2100873.0,-3.07910487505906,-45.78725706546894
Araioses,2100907.0,-2.972261050956459,-42.01702301759947
Arame,2100956.0,-5.027749606928267,-45.94596273384753
Arari,2101004.0,-3.5333842235487447,-44.72736833128165
Axixá,2101103.0,-2.8438056627023305,-44.09862654029373
Bacabal,2101202.0,-4.17118041518506,-44.76201898841737
Bacabeira,2101251.0,-2.936399184803212,-44.35797077351493
Bacuri,2101301.0,-1.6832266935097313,-45.162624658097066
Bacurituba,2101350.0,-2.699551512783215,-44.69511287487754
Balsas,2101400.0,-8.238874762638243,-46.34314521170624
Barão De Grajaú,2101509.0,-6.592883664095195,-43.18807881574657
Barra Do Corda,2101608.0,-5.504210609310618,-45.18308050890582
Barreirinhas,2101707.0,-2.839839643520071,-42.91018014055212
Belágua,2101731.0,-3.1013128772778,-43.46239406023739
Bela Vista Do Maranhão,2101772.0,-3.75783990885608,-45.26573601317349
Benedito Leite,2101806.0,-7.1207019986314455,-44.56839827899419
Bequimão,2101905.0,-2.431009899492558,-44.785692137977634
Bernardo Do Mearim,2101939.0,-4.68012990790006,-44.68788340200125
Boa Vista Do Gurupi,2101970.0,-1.76205040955354,-46.1787836282009
Bom Jardim,2102002.0,-3.900475613587622,-46.41830460756486
Bom Jesus Das Selvas,2102036.0,-4.60082504145518,-46.68865030853187
Bom Lugar,2102077.0,-4.346740760746778,-45.02097647444637
Brejo,2102101.0,-3.687005067624678,-42.82848429404693
Brejo De Areia,2102150.0,-4.365116350856831,-45.65005384012928
Buriti,2102200.0,-3.9004842311049885,-43.00151976887406
Buriti Bravo,2102309.0,-5.789233158434117,-43.83057018720489
Buriticupu,2102325.0,-4.493951440031724,-46.342407595408055
Buritirana,2102358.0,-5.518169699918318,-47.06175189509323
Cachoeira Grande,2102374.0,-3.145229941754928,-43.919277841029825
Cajapió,2102408.0,-2.874358613939822,-44.59897623481715
Cajari,2102507.0,-3.390730698337259,-45.05278199463426
Campestre Do Maranhão,2102556.0,-6.176231660570348,-47.263835640239655
Cândido Mendes,2102606.0,-1.6173815397748625,-45.67670969112746
Cantanhede,2102705.0,-3.621653491922017,-44.262762256894916
Capinzal Do Norte,2102754.0,-4.682204592628652,-44.30621691792829
Carolina,2102804.0,-7.376735277267508,-47.211226467463874
Carutapera,2102903.0,-1.3503374483878758,-46.02946188461582
Caxias,2103000.0,-4.866471919146646,-43.29924326400366
Cedral,2103109.0,-1.9774140665452393,-44.59370142342495
Central Do Maranhão,2103125.0,-2.2549500824632833,-44.8579455142958
Centro Do Guilherme,2103158.0,-2.428699739775464,-46.116972240362834
Centro Novo Do Maranhão,2103174.0,-3.0710732921757846,-46.533733624309946
Chapadinha,2103208.0,-3.848834319049046,-43.45395381667422
Cidelândia,2103257.0,-5.057213393791924,-47.82978036120941
Codó,2103307.0,-4.607252440320227,-43.88592665767392
Coelho Neto,2103406.0,-4.248122833739039,-43.11190709640307
