name_muni,code_muni,lat,lon
Abadia Dos Dourados,3100104.0,-18.353425900550626,-47.4589723480881
Abaeté,3100203.0,-19.10283500511968,-45.358662459089814
Abre Campo,3100302.0,-20.27327774084621,-42.44273187281192
Acaiaca,3100401.0,-20.399849564362412,-43.101258526185276
Açucena,3100500.0,-19.05269360592989,-42.450776591459054
Água Boa,3100609.0,-18.02745997255431,-42.275884421741914
Água Comprida,3100708.0,-20.005451324899408,-48.0842758612513
Aguanil,3100807.0,-20.97373863130598,-45.422001894424234
Águas Formosas,3100906.0,-17.041683297604827,-40.97391815628912
Águas Vermelhas,3101003.0,-15.683310477586195,-41.521522226036346
Aimorés,3101102.0,-19.625364094010187,-41.21395641114194
Aiuruoca,3101201.0,-21.954749261452925,-44.64751771047384
Alagoa,3101300.0,-22.18659724714678,-44.6606137906281
Albertina,3101409.0,-22.198614833020528,-46.61377216445499
Além Paraíba,3101508.0,-21.82656101958381,-42.746522786606675
Alfenas,3101607.0,-21.38881260056685,-45.96622134784235
Alfredo Vasconcelos,3101631.0,-21.139056819059892,-43.71247953633215
Almenara,3101706.0,-16.091187463188568,-40.723745380235094
Alpercata,3101805.0,-18.9837747283531,-42.019101460642
Alpinópolis,3101904.0,-20.859628853888875,-46.37614756359734
Alterosa,3102001.0,-21.2252769154205,-46.153496434235386
Alto Caparaó,3102050.0,-20.458373448494015,-41.864831072624185
Alto Rio Doce,3102100.0,-21.035739112798538,-43.40343344199953
Alvarenga,3102209.0,-19.419924577467796,-41.69548969829807
Alvinópolis,3102308.0,-20.11179726435824,-43.15254653515234
Alvorada De Minas,3102407.0,-18.77910479271825,-43.36764765182864
Amparo Do Serra,3102506.0,-20.528150279159924,-42.80493792270925
Andradas,3102605.0,-22.07584043652997,-46.5547472412648
Cachoeira De Pajeú,3102704.0,-15.968553262414899,-41.49805831691358
Andrelândia,3102803.0,-21.738885722517765,-44.26968055939386
Angelândia,3102852.0,-17.703317163444957,-42.282831598325224
Antônio Carlos,3102902.0,-21.410670220311797,-43.76633506446875
Antônio Dias,3103009.0,-19.567120535645444,-42.87636011616458
Antônio Prado De Minas,3103108.0,-21.022590471872054,-42.15200703882282
Araçaí,3103207.0,-19.234724522096347,-44.21849014229665
Aracitaba,3103306.0,-21.35032199246735,-43.40371519945986
Araçuaí,3103405.0,-16.930931029390646,-41.993221481089
Araguari,3103504.0,-18.57723360056324,-48.22193889074221
Arantina,3103603.0,-21.896963125960948,-44.22717254508043
Araponga,3103702.0,-20.662804554870696,-42.49888752300828
Araporã,3103751.0,-18.477408355886944,-49.12721347237323
Arapuá,3103801.0,-19.041421618595738,-46.11528291465202
Araújos,3103900.0,-19.886483058368626,-45.18094748053377
Araxá,3104007.0,-19.63642493088174,-46.972180888784266
Arceburgo,3104106.0,-21.35943650562109,-46.94192037688053
Arcos,3104205.0,-20.259790852364223,-45.54719129508301
Areado,3104304.0,-21.356053760364436,-46.14228577883163
Argirita,3104403.0,-21.63537119321301,-42.83249785396443
Aricanduva,3104452.0,-17.88124679222357,-42.60553999217183
Arinos,3104502.0,-15.751031208098068,-45.98861182665203
Astolfo Dutra,3104601.0,-21.315417088023466,-42.87929383209964
Ataléia,3104700.0,-18.163556905833037,-41.15159001768545
Augusto De Lima,3104809.0,-18.10889180929346,-44.198069641358764
Baependi,3104908.0,-22.016865258093027,-44.8220421278226
Baldim,3105004.0,-19.262960936850924,-43.863377179628635
Bambuí,3105103.0,-20.111017835281853,-45.998911806168095
Bandeira,3105202.0,-15.877706078463818,-40.580977441579115
Bandeira Do Sul,3105301.0,-21.72414096099314,-46.38497560190171
Barão De Cocais,3105400.0,-19.89163723318272,-43.49553612145083
Barão De Monte Alto,3105509.0,-21.264834631609034,-42.278378216464255
Barbacena,3105608.0,-21.251527516598102,-43.80059402276999
Barra Longa,3105707.0,-20.27562010909927,-43.06619654386676
Barroso,3105905.0,-21.183267469534275,-43.957821667066426
Bela Vista De Minas,3106002.0,-19.798006833669604,-43.105572060356494
Belmiro Braga,3106101.0,-21.985841260338553,-43.46869264725787
Belo Horizonte,3106200.0,-19.90273769528639,-43.95998716301439
Belo Oriente,3106309.0,-19.259406648464847,-42.45038228944311
Belo Vale,3106408.0,-20.42468913790362,-44.060082385051075
Berilo,3106507.0,-16.86239396980673,-42.49428862350477
Bertópolis,3106606.0,-16.974599071461718,-40.57426215979057
Berizal,3106655.0,-15.684128660031643,-41.76176547985989
Betim,3106705.0,-19.94745455568145,-44.19913189325367
Bias Fortes,3106804.0,-21.624747419191312,-43.77364059800754
Bicas,3106903.0,-21.731454480224613,-43.10469642665222
Biquinhas,3107000.0,-18.757159143993125,-45.5395014956015
Boa Esperança,3107109.0,-21.048586257662112,-45.6211422795978
Bocaina De Minas,3107208.0,-22.215809827650382,-44.4828282530996
Bocaiúva,3107307.0,-17.290126060037498,-43.686668259649316
Bom Despacho,3107406.0,-19.6845968367858,-45.286118478859215
Bom Jardim De Minas,3107505.0,-21.950094531916168,-44.12700262498825
Bom Jesus Da Penha,3107604.0,-21.013767929735433,-46.52903880177824
Bom Jesus Do Amparo,3107703.0,-19.717711178905116,-43.468634837317
Bom Jesus Do Galho,3107802.0,-19.742332032490356,-42.35099583421715
Bom Repouso,3107901.0,-22.44588210262891,-46.18432102341475
Bom Sucesso,3108008.0,-21.026431470351447,-44.784155863346946
Bonfim,3108107.0,-20.32149671109612,-44.21483318362077
Bonfinópolis De Minas,3108206.0,-16.486419477700924,-46.19035628967851
Bonito De Minas,3108255.0,-14.993137546677955,-44.89664701414223
Borda Da Mata,3108305.0,-22.25658015806707,-46.15173771264691
Botelhos,3108404.0,-21.636353234780852,-46.41941211517311
Botumirim,3108503.0,-16.93797505875359,-43.00566105154283
Brasilândia De Minas,3108552.0,-16.957092387047584,-45.90254755709311
Brasília De Minas,3108602.0,-16.242859957062247,-44.4391661191428
Brás Pires,3108701.0,-20.875142686682974,-43.22746982727854
Braúnas,3108800.0,-19.0257390220021,-42.71646847553629
Brazópolis,3108909.0,-22.491195178797742,-45.628013768172515
Brumadinho,3109006.0,-20.177858656744355,-44.12269345061932
Bueno Brandão,3109105.0,-22.48601850001379,-46.35522053824937
Buenópolis,3109204.0,-17.88063931747804,-44.041369541538565
Bugre,3109253.0,-19.357692711486678,-42.31091073246923
Buritis,3109303.0,-15.453547178533114,-46.60428746565865
Buritizeiro,3109402.0,-17.286940655194957,-45.19187642191461
Cabeceira Grande,3109451.0,-16.076231158947884,-47.12372181239226
Cabo Verde,3109501.0,-21.481634224980493,-46.39157432327138
Cachoeira Da Prata,3109600.0,-19.516941813088415,-44.472037315973395
Cachoeira De Minas,3109709.0,-22.362427134432213,-45.792820466409424
Cachoeira Dourada,3109808.0,-18.60736994017823,-49.478865177750684
Caetanópolis,3109907.0,-19.342512768263692,-44.40343705171716
Caeté,3110004.0,-19.86788630415966,-43.63695693562972
Caiana,3110103.0,-20.72535010781009,-41.908391208557696
Cajuri,3110202.0,-20.7852907520705,-42.7640289048471
Caldas,3110301.0,-21.890822159222495,-46.36367992436419
Camacho,3110400.0,-20.64089835757927,-45.1321745011538
Camanducaia,3110509.0,-22.786945506397853,-46.07476380378606
Cambuí,3110608.0,-22.58272045288576,-46.07836646872274
Cambuquira,3110707.0,-21.859020887514216,-45.26176118924369
Campanário,3110806.0,-18.283941066132936,-41.73445838361607
Campanha,3110905.0,-21.843928379935836,-45.40844829033964
Campestre,3111002.0,-21.710382011672746,-46.2215114789703
Campina Verde,3111101.0,-19.47924621565712,-49.810005501491005
Campo Azul,3111150.0,-16.508748203280447,-44.76323386514252
Campo Belo,3111200.0,-20.919732563501768,-45.25595386715369
Campo Do Meio,3111309.0,-21.113641720759663,-45.84963366098888
Campo Florido,3111408.0,-19.713483966811403,-48.64785112971509
Campos Altos,3111507.0,-19.604949954500253,-46.197037208473716
Campos Gerais,3111606.0,-21.25888264656028,-45.75349211988973
Canaã,3111705.0,-20.666844033388788,-42.621883357468064
Canápolis,3111804.0,-18.757959212149757,-49.27184449632235
Cana Verde,3111903.0,-21.033057346914273,-45.185686936886995
Candeias,3112000.0,-20.748527590339467,-45.27953060828804
Cantagalo,3112059.0,-18.51621689823229,-42.648692131591226
Caparaó,3112109.0,-20.527300624804173,-41.949412312159076
Capela Nova,3112208.0,-20.917288214183355,-43.608601145242126
Capelinha,3112307.0,-17.69294611234402,-42.49199247314627
Capetinga,3112406.0,-20.657432654362214,-47.031750013889834
