name_muni,code_muni,lat,lon
Água Clara,5000203.0,-19.9640642964134,-52.92638172004604
Alcinópolis,5000252.0,-18.209310548785577,-53.74920255584798
Amambai,5000609.0,-23.158053473035395,-54.96814845351389
Anastácio,5000708.0,-20.69649197247481,-55.7718723772509
Anaurilândia,5000807.0,-22.111622077160813,-52.80485194633358
Angélica,5000856.0,-22.062492781895603,-53.86579671598374
Antônio João,5000906.0,-22.205738920210088,-55.96953864786723
Aparecida Do Taboado,5001003.0,-20.075755649828142,-51.29019309689541
Aquidauana,5001102.0,-19.747491882840965,-55.87697956708073
Aral Moreira,5001243.0,-22.907815994732623,-55.45023768114956
Bandeirantes,5001508.0,-19.80576872436038,-54.30553420081693
Bataguassu,5001904.0,-21.80585332379758,-52.57224665723834
Batayporã,5002001.0,-22.39115304591044,-53.17761138018954
Bela Vista,5002100.0,-21.93493352431895,-56.538468671832675
Bodoquena,5002159.0,-20.54903755828642,-56.69944289558654
Bonito,5002209.0,-21.03373008047945,-56.48290378176227
Brasilândia,5002308.0,-21.076588574864093,-52.43357057720467
Caarapó,5002407.0,-22.58842147240855,-54.80272321926261
Camapuã,5002605.0,-19.34238608967628,-53.869612382917694
Campo Grande,5002704.0,-20.914837694513746,-54.24880851475942
Caracol,5002803.0,-21.941078626713278,-57.08958133164818
Cassilândia,5002902.0,-19.095501611684302,-52.179910473031235
Chapadão Do Sul,5002951.0,-18.994972680221444,-52.69796353417251
Corguinho,5003108.0,-19.807671981159807,-55.05735550235766
Coronel Sapucaia,5003157.0,-23.347783994503274,-55.38307313600494
Corumbá,5003207.0,-18.72878898998309,-56.72473242345663
Costa Rica,5003256.0,-18.519129073260714,-53.20314416790183
Coxim,5003306.0,-18.2815478487055,-54.6736530998245
Deodápolis,5003454.0,-22.15618866869565,-54.15213162731405
Dois Irmãos Do Buriti,5003488.0,-20.60084401094382,-55.362405551556535
Douradina,5003504.0,-22.013994253076895,-54.58779212733895
Dourados,5003702.0,-22.14501546213352,-54.838969480458154
Eldorado,5003751.0,-23.738352580482807,-54.22504124215275
Fátima Do Sul,5003801.0,-22.337360377303643,-54.43974957470889
Figueirão,5003900.0,-18.744637958020743,-53.862302924232715
Glória De Dourados,5004007.0,-22.427262712936393,-54.192533581553164
Guia Lopes Da Laguna,5004106.0,-21.541869798911247,-55.9960884355692
Iguatemi,5004304.0,-23.43453189820766,-54.538290872394874
Inocência,5004403.0,-19.65804700143256,-52.02172408229834
Itaporã,5004502.0,-22.00553349744289,-54.873523018882224
Itaquiraí,5004601.0,-23.341754646762443,-54.119129041099086
Ivinhema,5004700.0,-22.371547396692552,-53.799064432829134
Japorã,5004809.0,-23.810761498444446,-54.53802679424479
Jaraguari,5004908.0,-20.227374500644437,-54.34830566514563
Jardim,5005004.0,-21.582217625979624,-56.351653685994826
Jateí,5005103.0,-22.706886177279884,-53.95707808436704
Juti,5005152.0,-22.776405479079997,-54.48889013583656
Ladário,5005202.0,-19.103137824849384,-57.5687843423189
Laguna Carapã,5005251.0,-22.67779061093861,-55.13201726449045
Maracaju,5005400.0,-21.54398102771354,-55.396621981060484
Miranda,5005608.0,-20.121648978778794,-56.596012222576285
Mundo Novo,5005681.0,-23.94272532181941,-54.2742347653454
Naviraí,5005707.0,-23.02275921042259,-54.025538871650966
Nioaque,5005806.0,-21.101215343077616,-55.90134930062288
Nova Alvorada Do Sul,5006002.0,-21.491443190247526,-54.21615745229997
Nova Andradina,5006200.0,-21.92618608291935,-53.42198355120222
Novo Horizonte Do Sul,5006259.0,-22.603070494056983,-53.781814732304085
Paraíso Das Águas,5006275.0,-19.228477175175144,-53.13031653028091
Paranaíba,5006309.0,-19.527742946377167,-51.39609700346629
Paranhos,5006358.0,-23.711450461132383,-55.35594160908901
Pedro Gomes,5006408.0,-17.914410574354893,-54.339152748441606
Ponta Porã,5006606.0,-22.203167292118966,-55.58322043723999
Porto Murtinho,5006903.0,-21.228296172806917,-57.38456208019905
Ribas Do Rio Pardo,5007109.0,-20.5989300750338,-53.54395251906721
Rio Brilhante,5007208.0,-21.696357595677863,-54.557698457562275
Rio Negro,5007307.0,-19.447028491546167,-54.96298243412005
Rio Verde De Mato Grosso,5007406.0,-18.814233005077128,-55.04293905656202
Rochedo,5007505.0,-19.978793121497294,-54.73557211954553
Santa Rita Do Pardo,5007554.0,-21.319716139487394,-52.77420485041167
São Gabriel Do Oeste,5007695.0,-19.169540423953386,-54.48279824819071
Sete Quedas,5007703.0,-23.880594316240526,-55.02788476386235
Selvíria,5007802.0,-20.282282329332087,-51.758058045304935
Sidrolândia,5007901.0,-21.094264570228464,-54.94215658839309
Sonora,5007935.0,-17.648854777566893,-54.43268011973308
Tacuru,5007950.0,-23.64941505664886,-54.9903442322056
Taquarussu,5007976.0,-22.668069248338323,-53.43112227446131
Terenos,5008008.0,-20.447610840446952,-55.02405310250707
Três Lagoas,5008305.0,-20.44029080640254,-52.210680131275794
Vicentina,5008404.0,-22.46717246927082,-54.424878386895095
