name_muni,code_muni,lat,lon
Acorizal,5100102.0,-15.177415167465474,-56.31804251585931
Água Boa,5100201.0,-13.977797289442755,-52.500163064279896
Alta Floresta,5100250.0,-10.056199258566654,-56.36783688214709
Alto Araguaia,5100300.0,-17.45067337633179,-53.46698954166586
Alto Boa Vista,5100359.0,-11.81153855671737,-51.75028755649707
Alto Garças,5100409.0,-16.88927695735825,-53.5808514599482
Alto Paraguai,5100508.0,-14.760071320356563,-56.661369469579036
Alto Taquari,5100607.0,-17.827264777611116,-53.29666066464924
Apiacás,5100805.0,-8.760014736657375,-57.825690311935915
Araguaiana,5101001.0,-15.124509111979929,-51.79537098261991
Araguainha,5101209.0,-16.75388945632753,-53.12546471742942
Araputanga,5101258.0,-15.253129753142545,-58.45909463459878
Arenápolis,5101308.0,-14.507104323940233,-56.8593749291208
Aripuanã,5101407.0,-10.180373856569195,-59.85612027371406
Barão De Melgaço,5101605.0,-16.81112116536013,-56.02961973198721
Barra Do Bugres,5101704.0,-15.068014268968748,-57.55924724533216
Barra Do Garças,5101803.0,-15.382486125431315,-52.50903370720825
Bom Jesus Do Araguaia,5101852.0,-12.217979591699367,-51.7394639909232
Brasnorte,5101902.0,-12.424569487522739,-57.99854988239684
Cáceres,5102504.0,-16.54035973900886,-57.83462976875601
Campinápolis,5102603.0,-14.374231145421613,-53.11366347047789
Campo Novo Do Parecis,5102637.0,-13.68888965877366,-57.93086199924474
Campo Verde,5102678.0,-15.40017235166071,-55.03180717845215
Campos De Júlio,5102686.0,-13.581026934944845,-59.19315107373816
Canabrava Do Norte,5102694.0,-11.20171181782718,-51.82358655178934
Canarana,5102702.0,-13.330309946615031,-52.39868459785434
Carlinda,5102793.0,-10.10647049302165,-55.834170019950875
Castanheira,5102850.0,-10.94088294943885,-58.602788376838426
Chapada Dos Guimarães,5103007.0,-15.125469604217747,-55.58263464732068
Cláudia,5103056.0,-11.448248447859687,-55.04763409387983
Cocalinho,5103106.0,-13.855605889932797,-51.14361800507247
Colíder,5103205.0,-10.631245541431907,-55.46855024134772
Colniza,5103254.0,-9.292757580414744,-60.30436940146616
Comodoro,5103304.0,-13.195249247814724,-59.751788849131586
Confresa,5103353.0,-10.404313263008202,-51.69854905047905
Conquista D'oeste,5103361.0,-14.634805239875874,-59.33227862298634
Cotriguaçu,5103379.0,-9.538084711452834,-58.67508005284867
Cuiabá,5103403.0,-15.452621597521443,-55.955390320795445
Curvelândia,5103437.0,-15.617139434190012,-57.87647187864392
Denise,5103452.0,-14.730054857392188,-56.96160394652329
Diamantino,5103502.0,-14.096047169018519,-56.80434055264146
Dom Aquino,5103601.0,-15.655911025283705,-54.77420519619808
Feliz Natal,5103700.0,-11.933947681331748,-54.18561530287034
Figueirópolis D'oeste,5103809.0,-15.527396259064941,-58.702554297348364
Gaúcha Do Norte,5103858.0,-12.997035819656132,-53.45623911037982
General Carneiro,5103908.0,-15.5573396541081,-53.39165658353792
Glória D'oeste,5103957.0,-15.8392623124439,-58.325260677873615
Guarantã Do Norte,5104104.0,-9.776349286748928,-54.62109460718112
Guiratinga,5104203.0,-16.384502777277064,-53.58791267243173
Indiavaí,5104500.0,-15.335310573181278,-58.597481268316585
Ipiranga Do Norte,5104526.0,-12.017268919871812,-56.05872521714321
Itanhangá,5104542.0,-12.140452273016962,-56.75485857984217
Itaúba,5104559.0,-11.111021673180247,-55.58937265813604
Itiquira,5104609.0,-17.33408504829216,-54.59744209533602
Jaciara,5104807.0,-15.977683573061817,-55.190512660834926
Jangada,5104906.0,-15.354930930261546,-56.59980781954606
Jauru,5105002.0,-15.304935052596429,-58.865677229381724
Juara,5105101.0,-11.024883151348277,-57.61850908711642
Juína,5105150.0,-11.532986826189633,-59.3243754690546
Juruena,5105176.0,-10.397585650901194,-58.62481884402766
Juscimeira,5105200.0,-16.215083669932152,-54.96067573647715
Lambari D'oeste,5105234.0,-15.377167488549224,-57.779197672359224
Lucas Do Rio Verde,5105259.0,-13.037463339944308,-56.1673832154202
Luciara,5105309.0,-11.014811158522845,-50.945834984855615
Vila Bela Da Santíssima Trindade,5105507.0,-15.191684421190988,-59.989934438299954
Marcelândia,5105580.0,-10.886451236016837,-54.053378568128686
Matupá,5105606.0,-10.014164514311576,-54.35699113711626
Mirassol D'oeste,5105622.0,-15.654265633731335,-58.05503563348891
Nobres,5105903.0,-14.378413398352754,-55.813528706256626
Nortelândia,5106000.0,-14.347763802904193,-56.72258028082535
Nossa Senhora Do Livramento,5106109.0,-15.839462846927262,-56.48366953952312
