name_muni,code_muni,lat,lon
Abaetetuba,1500107.0,-1.7302523532175904,-48.883030613053386
Abel Figueiredo,1500131.0,-4.957297369415199,-48.42464799226397
Acará,1500206.0,-2.035391275317447,-48.41146710581582
Afuá,1500305.0,-0.2628666131191257,-50.725931742507676
Água Azul Do Norte,1500347.0,-6.773093557921638,-50.4301934118762
Alenquer,1500404.0,-0.6046218456351258,-55.039145468391816
Almeirim,1500503.0,0.28463026584377304,-53.89366440842641
Altamira,1500602.0,-6.494678148604617,-53.887426952288045
Anajás,1500701.0,-0.8271159295896626,-49.96129862670091
Ananindeua,1500800.0,-1.3340605952025593,-48.38350335193013
Anapu,1500859.0,-3.998159572073794,-51.301134266320815
Augusto Corrêa,1500909.0,-1.104872995862785,-46.5074784641942
Aurora Do Pará,1500958.0,-2.2311461634551453,-47.726335621739395
Aveiro,1501006.0,-3.667294063515172,-56.01637599109555
Bagre,1501105.0,-2.3733364758094075,-50.18173242770776
Baião,1501204.0,-3.130014042692482,-49.69898078492175
Bannach,1501253.0,-7.486417106262921,-50.63443050506206
Barcarena,1501303.0,-1.4984921643523592,-48.63422044880707
Belém,1501402.0,-1.2407147631714586,-48.45984618840253
Belterra,1501451.0,-3.1914528673794025,-54.99290975818992
Benevides,1501501.0,-1.3396170344659584,-48.27558446251348
Bom Jesus Do Tocantins,1501576.0,-5.054395293997011,-48.763566569636836
Bonito,1501600.0,-1.387406134358413,-47.3023105370634
Bragança,1501709.0,-1.1931892490545708,-46.763582078494416
Brasil Novo,1501725.0,-3.292345677629337,-52.68544394240221
Brejo Grande Do Araguaia,1501758.0,-5.735669530332739,-48.43197862746268
Breu Branco,1501782.0,-3.7333114371456975,-49.371183603295336
Breves,1501808.0,-1.1209651843446202,-50.62805933697133
Bujaru,1501907.0,-1.6329909174775632,-48.08980288075867
Cachoeira Do Piriá,1501956.0,-1.9887586350042645,-46.44318105014895
Cachoeira Do Arari,1502004.0,-0.869401732272489,-48.87726033040207
Cametá,1502103.0,-2.253024050909413,-49.51357603669
Canaã Dos Carajás,1502152.0,-6.424066010348952,-50.08590606150444
Capanema,1502202.0,-1.1421173128892839,-47.11790156043904
Capitão Poço,1502301.0,-2.0423234682578024,-47.23344793483071
Castanhal,1502400.0,-1.2685961593694346,-47.877050393698475
Chaves,1502509.0,-0.0324141026615653,-49.83802654347884
Colares,1502608.0,-0.9358702721569275,-48.27382205203215
Conceição Do Araguaia,1502707.0,-8.182761190580466,-49.51274978769512
Concórdia Do Pará,1502756.0,-1.881760494584307,-47.974647598302
Cumaru Do Norte,1502764.0,-8.459242626880352,-51.221230403182076
Curionópolis,1502772.0,-6.2290737114996055,-49.624617254319695
Curralinho,1502806.0,-1.583520840667157,-49.988138247493396
Curuá,1502855.0,-1.8461032917660676,-55.11320973567734
Curuçá,1502905.0,-0.742873890292871,-47.86384671683372
Dom Eliseu,1502939.0,-4.1866387636947975,-47.89805946830846
Eldorado Do Carajás,1502954.0,-6.06962964958878,-49.24551088248181
Faro,1503002.0,-1.1592449710061927,-57.80585415318447
Floresta Do Araguaia,1503044.0,-7.548475555790226,-49.57612346893085
Garrafão Do Norte,1503077.0,-2.1683092123594236,-47.07597507801746
Goianésia Do Pará,1503093.0,-4.027303801754944,-49.00574407707985
Gurupá,1503101.0,-1.1494893221805869,-51.55395083695396
Igarapé-Açu,1503200.0,-1.1449285218551746,-47.56592585023792
Igarapé-Miri,1503309.0,-2.0626006736755613,-49.130715191669
Inhangapi,1503408.0,-1.4646521590480173,-47.922805041167564
Ipixuna Do Pará,1503457.0,-2.805949702978661,-47.92165904217328
Irituia,1503507.0,-1.8115594683436231,-47.39987922769905
Itaituba,1503606.0,-5.87480489363914,-56.496591175042994
Itupiranga,1503705.0,-5.114942004330386,-49.86968341980487
Jacareacanga,1503754.0,-7.449098032617376,-57.30196896368534
Jacundá,1503804.0,-4.598624184092532,-49.1810517973285
Juruti,1503903.0,-2.623324858718323,-56.22153402346406
Limoeiro Do Ajuru,1504000.0,-1.864243026527842,-49.469174938616455
Mãe Do Rio,1504059.0,-1.9909655571943592,-47.51275294727472
Magalhães Barata,1504109.0,-0.8098864569066834,-47.63525040100277
Marabá,1504208.0,-5.629939424967392,-50.017128047986276
Maracanã,1504307.0,-0.8099849688569521,-47.49739836630858
Marapanim,1504406.0,-0.837632803258822,-47.709781535125124
Marituba,1504422.0,-1.3974207638841876,-48.31977266403517
Medicilândia,1504455.0,-3.160295237704353,-53.194953332973334
Melgaço,1504505.0,-1.6076587039837158,-51.10392279026178
Mocajuba,1504604.0,-2.576710125314274,-49.46642008997894
Moju,1504703.0,-2.684199849548669,-49.07414662365927
Mojuí Dos Campos,1504752.0,-3.070481068615737,-54.575199895159784
Monte Alegre,1504802.0,-1.0746253405882629,-54.352990874990695
Muaná,1504901.0,-1.3557303026502787,-49.309263522189006
Nova Esperança Do Piriá,1504950.0,-2.3927345435460787,-46.900105069803445
Nova Ipixuna,1504976.0,-4.981068763802858,-49.230763542817236
Nova Timboteua,1505007.0,-1.156410174502487,-47.39214787949698
Novo Progresso,1505031.0,-8.064819084764414,-55.611854682709414
Novo Repartimento,1505064.0,-4.5031455720898546,-50.27158872753466
Óbidos,1505106.0,-0.1696730152445866,-55.67479554450949
Oeiras Do Pará,1505205.0,-2.2790742242939457,-49.90230292526186
Oriximiná,1505304.0,0.2550443137203513,-57.14977273688389
Ourém,1505403.0,-1.495949015092029,-47.13915172089813
Ourilândia Do Norte,1505437.0,-7.521174617842105,-51.43123409919894
Pacajá,1505486.0,-3.684302812692542,-50.63164860079634
Palestina Do Pará,1505494.0,-5.927246015171964,-48.3702329722931
Paragominas,1505502.0,-3.2035977017189334,-47.60328885862152
Parauapebas,1505536.0,-6.15172206759315,-50.48991663677632
Pau D'arco,1505551.0,-7.737022041532739,-50.12364221854466
Peixe-Boi,1505601.0,-1.1308930906672243,-47.271940555438505
Piçarra,1505635.0,-6.54101183954822,-49.01194898936412
Placas,1505650.0,-3.88999011772225,-54.50065046757988
Ponta De Pedras,1505700.0,-1.1176644983308055,-49.07719963014684
Portel,1505809.0,-2.565631360929633,-50.955580819795266
Porto De Moz,1505908.0,-2.184726536970643,-52.547767385264216
Prainha,1506005.0,-2.1205275161232855,-53.66020671508161
Primavera,1506104.0,-0.9528054048516904,-47.13136719626526
Quatipuru,1506112.0,-0.8601558155175322,-47.015524414219094
Redenção,1506138.0,-8.069425947134569,-50.19809630148435
Rio Maria,1506161.0,-7.340765757535436,-49.895230691557714
Rondon Do Pará,1506187.0,-4.517057451950719,-48.459926477642036
Rurópolis,1506195.0,-4.241090847179659,-55.21082889755157
Salinópolis,1506203.0,-0.6840703134483999,-47.35176696677002
Salvaterra,1506302.0,-0.7966745819343196,-48.62987036608789
Santa Bárbara Do Pará,1506351.0,-1.1942819307632597,-48.250508147312715
Santa Cruz Do Arari,1506401.0,-0.583387280120685,-49.3138812352547
Santa Izabel Do Pará,1506500.0,-1.3651804556956664,-48.129456560719326
Santa Luzia Do Pará,1506559.0,-1.6566893241468066,-46.92683848802785
Santa Maria Das Barreiras,1506583.0,-8.633959854466335,-50.31436204278275
Santa Maria Do Pará,1506609.0,-1.374511646150719,-47.52168302649033
Santana Do Araguaia,1506708.0,-9.364235164762178,-50.61133271555623
Santarém,1506807.0,-2.6793228020329334,-55.238302625600625
Santarém Novo,1506906.0,-0.9133402676738175,-47.332956809519125
Santo Antônio Do Tauá,1507003.0,-1.0930683172729894,-48.18297479771395
São Caetano De Odivelas,1507102.0,-0.8650341142246616,-48.025715806261196
São Domingos Do Araguaia,1507151.0,-5.657609887917403,-48.73059573901999
São Domingos Do Capim,1507201.0,-1.8825846274265179,-47.77148311419874
São Félix Do Xingu,1507300.0,-7.239538512154468,-52.253087141486844
São Francisco Do Pará,1507409.0,-1.2060101454771348,-47.74679033148398
São Geraldo Do Araguaia,1507458.0,-6.189198887916066,-48.74828422018441
São João Da Ponta,1507466.0,-0.8703552225871387,-47.964503449914034
São João De Pirabas,1507474.0,-0.7838431095429248,-47.21798670771826
São João Do Araguaia,1507508.0,-5.44732339830861,-48.696714297454236
São Miguel Do Guamá,1507607.0,-1.5515223726393657,-47.61081280012746
São Sebastião Da Boa Vista,1507706.0,-1.4340990702873067,-49.68026896969785
Sapucaia,1507755.0,-6.8389750102395475,-49.56992035394513
Senador José Porfírio,1507805.0,-4.170416997478449,-51.77379261356853
Soure,1507904.0,-0.4479789381707897,-48.697805351046696
Tailândia,1507953.0,-2.9078766107220213,-48.73668278265721
Terra Alta,1507961.0,-1.0025364770743808,-47.84821391748942
Terra Santa,1507979.0,-1.9515683608740937,-56.45836724598339
