name_muni,code_muni,lat,lon
Água Branca,2500106.0,-7.470558535753095,-37.6626798695058
Aguiar,2500205.0,-7.074177769051995,-38.21380841661984
Alagoa Grande,2500304.0,-7.059122325841678,-35.60291617242739
Alagoa Nova,2500403.0,-7.061655660269111,-35.767001127213454
Alagoinha,2500502.0,-6.961962540238361,-35.522272349761565
Alcantil,2500536.0,-7.689966674659742,-36.04673660796968
Algodão De Jandaíra,2500577.0,-6.887895324245653,-35.97221860372989
Alhandra,2500601.0,-7.348741596994409,-34.93324275834009
São João Do Rio Do Peixe,2500700.0,-6.732890690116595,-38.41783632760859
Amparo,2500734.0,-7.5606153441176955,-37.039330177764185
Aparecida,2500775.0,-6.789376405235753,-38.06794809790928
Araçagi,2500809.0,-6.861264676521641,-35.35445258411449
Arara,2500908.0,-6.858099365532001,-35.731198623897086
Araruna,2501005.0,-6.5241643530143225,-35.75513855766063
Areia,2501104.0,-6.950369883236914,-35.70538659700777
Areia De Baraúnas,2501153.0,-7.111965440117114,-36.96190739241293
Areial,2501203.0,-7.0491847321443,-35.931598136411054
Aroeiras,2501302.0,-7.53554428235634,-35.69086014039828
Assunção,2501351.0,-7.073639987778949,-36.71022306148853
Baía Da Traição,2501401.0,-6.663108074133322,-34.988698972404755
Bananeiras,2501500.0,-6.700204827238179,-35.59625338930968
Baraúna,2501534.0,-6.620570245405479,-36.26127693448904
Barra De Santana,2501575.0,-7.564756273648456,-35.96605719430719
Barra De Santa Rosa,2501609.0,-6.791176425029602,-36.075996054804754
Barra De São Miguel,2501708.0,-7.700331375923299,-36.286527079336786
Bayeux,2501807.0,-7.131748899131621,-34.92198295301903
Belém,2501906.0,-6.705550475647807,-35.49832672857891
Belém Do Brejo Do Cruz,2502003.0,-6.148965665851247,-37.36598739678893
Bernardino Batista,2502052.0,-6.481065271338074,-38.555766841256755
Boa Ventura,2502102.0,-7.431202954019194,-38.18826252096267
Boa Vista,2502151.0,-7.271550067776549,-36.218641443203666
Bom Jesus,2502201.0,-6.822881420092877,-38.63028605156354
Bom Sucesso,2502300.0,-6.474753708556641,-37.94782036343137
Bonito De Santa Fé,2502409.0,-7.2892333591128065,-38.47818493730649
Boqueirão,2502508.0,-7.506574087016598,-36.149737157727344
Igaracy,2502607.0,-7.155251002737915,-38.124475761448664
Borborema,2502706.0,-6.794079951117355,-35.60098892571157
Brejo Do Cruz,2502805.0,-6.329692367810921,-37.49706333682167
Brejo Dos Santos,2502904.0,-6.398492228063124,-37.84652598261772
Caaporã,2503001.0,-7.486748206023954,-34.9189987221459
Cabaceiras,2503100.0,-7.450969713220628,-36.29885791948466
Cabedelo,2503209.0,-7.028173157249443,-34.84748581477629
Cachoeira Dos Índios,2503308.0,-6.946069775934003,-38.695652256452256
Cacimba De Areia,2503407.0,-7.138672377129847,-37.17357768509015
Cacimba De Dentro,2503506.0,-6.624658967141795,-35.81359653362524
Cacimbas,2503555.0,-7.209429461885283,-37.090417739226034
Caiçara,2503605.0,-6.606354266601335,-35.41173986902067
Cajazeiras,2503704.0,-6.9198689552804735,-38.540991708924864
Cajazeirinhas,2503753.0,-6.958915081545156,-37.80345986180563
Caldas Brandão,2503803.0,-7.1210177819762315,-35.339252197001244
Camalaú,2503902.0,-7.899863982971752,-36.79701533718061
Campina Grande,2504009.0,-7.263565139439472,-35.96553854396476
Capim,2504033.0,-6.900825107683497,-35.168715177628215
Caraúbas,2504074.0,-7.774142095437331,-36.502439316263946
Carrapateira,2504108.0,-7.044379822219647,-38.33754419244639
Casserengue,2504157.0,-6.755142641620158,-35.84318177205844
Catingueira,2504207.0,-7.1385256128685235,-37.590715596058956
Catolé Do Rocha,2504306.0,-6.321144782356643,-37.70438872465099
Caturité,2504355.0,-7.415971263633637,-36.05771166221467
Conceição,2504405.0,-7.503732934501066,-38.528262513354704
Condado,2504504.0,-6.905018399439145,-37.61550955609519
Conde,2504603.0,-7.282100107897507,-34.86063522095011
Congo,2504702.0,-7.795006263659415,-36.646481122434714
Coremas,2504801.0,-7.050497208088665,-37.97541754967609
Coxixola,2504850.0,-7.645261518480216,-36.63415950498135
Cruz Do Espírito Santo,2504900.0,-7.148982850812166,-35.10270130397251
Cubati,2505006.0,-6.860600972268554,-36.32670509372353
Cuité,2505105.0,-6.548659586971003,-36.07840414074154
Cuitegi,2505204.0,-6.899178270019177,-35.522762923973104
Cuité De Mamanguape,2505238.0,-6.905990203989757,-35.25211922091384
Curral De Cima,2505279.0,-6.7338810962590925,-35.284786507341416
Curral Velho,2505303.0,-7.537912659200088,-38.16792955184398
Damião,2505352.0,-6.643253569715802,-35.93006057372523
Desterro,2505402.0,-7.300047960269508,-37.092939979904486
Vista Serrana,2505501.0,-6.757034713266092,-37.575388557188944
Diamante,2505600.0,-7.42376203324483,-38.31551118366215
Dona Inês,2505709.0,-6.609461106910385,-35.64829792194967
Duas Estradas,2505808.0,-6.7208342590342225,-35.39560641468466
Emas,2505907.0,-7.086563667588297,-37.74505021316702
Esperança,2506004.0,-6.998164066433156,-35.890370980408505
Fagundes,2506103.0,-7.39142512519907,-35.77989689651272
Frei Martinho,2506202.0,-6.414499537925584,-36.44974642473786
Gado Bravo,2506251.0,-7.589680548546708,-35.81240013408029
Guarabira,2506301.0,-6.877848003642479,-35.448122875371
Gurinhém,2506400.0,-7.149675111805955,-35.43587272399868
Gurjão,2506509.0,-7.261483865683924,-36.45789239208723
Ibiara,2506608.0,-7.491940896883612,-38.40388204362921
Imaculada,2506707.0,-7.370846970956726,-37.558257246192746
