name_muni,code_muni,lat,lon
Abreu E Lima,2600054.0,-7.879628089292169,-35.019408533453436
Afogados Da Ingazeira,2600104.0,-7.7371023214295525,-37.62003113045093
Afrânio,2600203.0,-8.61893822327627,-41.00538987562343
Agrestina,2600302.0,-8.456572911217526,-35.945256739334255
Água Preta,2600401.0,-8.728830153002585,-35.48178396098569
Águas Belas,2600500.0,-9.087113326220921,-37.03866906365558
Alagoinha,2600609.0,-8.494079714314903,-36.7553344610093
Aliança,2600708.0,-7.602540342786948,-35.19315711096215
Altinho,2600807.0,-8.490404938526378,-36.098912829143934
Amaraji,2600906.0,-8.365361947835241,-35.46573101624715
Angelim,2601003.0,-8.891645387868797,-36.27673961157886
Araçoiaba,2601052.0,-7.79317781219598,-35.0761929483249
Araripina,2601102.0,-7.608040504190998,-40.48482117494399
Arcoverde,2601201.0,-8.384830742038181,-37.01024987088977
Barra De Guabiraba,2601300.0,-8.41642365444632,-35.6321234044296
Barreiros,2601409.0,-8.820201506886102,-35.25857511291974
Belém De Maria,2601508.0,-8.604899930831039,-35.81504551830805
Belém Do São Francisco,2601607.0,-8.583608474257888,-38.98186578083347
Belo Jardim,2601706.0,-8.258956062853482,-36.40527889272112
Betânia,2601805.0,-8.265359655638163,-37.987676294196056
Bezerros,2601904.0,-8.217956282116575,-35.78207719888956
Bodocó,2602001.0,-7.656414170700648,-39.96518030606964
Bom Conselho,2602100.0,-9.202654686937523,-36.683943164316986
Bom Jardim,2602209.0,-7.786750865291498,-35.58846795883584
Bonito,2602308.0,-8.495455572952926,-35.7075610212159
Brejão,2602407.0,-9.026720426345852,-36.52988527521024
Brejinho,2602506.0,-7.336675318881653,-37.32084230699112
Brejo Da Madre De Deus,2602605.0,-8.075681716695923,-36.28142966478477
Buenos Aires,2602704.0,-7.737958875374058,-35.34729462774459
Buíque,2602803.0,-8.649075841182887,-37.12083697890335
Cabo De Santo Agostinho,2602902.0,-8.269276061349379,-35.08578315598873
Cabrobó,2603009.0,-8.386478739971258,-39.32937113148074
Cachoeirinha,2603108.0,-8.484929394481783,-36.29097225313942
Caetés,2603207.0,-8.80409023416555,-36.659086594875625
Calçado,2603306.0,-8.75059460986358,-36.32174260053768
Calumbi,2603405.0,-8.004158437138225,-38.07855032713606
Camaragibe,2603454.0,-7.986884705148545,-34.9958147883729
