name_muni,code_muni,lat,lon
Acauã,2200053.0,-8.305974180995694,-41.001671584507214
Agricolândia,2200103.0,-5.768287588839789,-42.682411512345695
Água Branca,2200202.0,-5.914031972615317,-42.628105183870325
Alagoinha Do Piauí,2200251.0,-6.92922520159458,-40.919735444435446
Alegrete Do Piauí,2200277.0,-7.200426988994538,-40.79752973912621
Alto Longá,2200301.0,-5.379484610770212,-42.15465725047889
Altos,2200400.0,-5.014769622392927,-42.46966123974633
Alvorada Do Gurguéia,2200459.0,-8.456022465232401,-43.968371354798954
Amarante,2200509.0,-6.37042616100991,-42.78779731301098
Angical Do Piauí,2200608.0,-6.106847235963826,-42.75046101854084
Anísio De Abreu,2200707.0,-9.214104834776547,-43.04194117513281
Antônio Almeida,2200806.0,-7.2194076756454075,-44.20271256111942
Aroazes,2200905.0,-6.124491310381818,-41.83032973529765
Aroeiras Do Itaim,2200954.0,-7.250342438802087,-41.534280512724905
Arraial,2201002.0,-6.618131982193604,-42.52031709623585
Assunção Do Piauí,2201051.0,-5.880014692227561,-41.06880672315307
Avelino Lopes,2201101.0,-10.17967116854854,-43.94236988134303
Baixa Grande Do Ribeiro,2201150.0,-8.50627806527397,-45.16105208986879
Barra D'alcântara,2201176.0,-6.529586717380477,-42.10649123966807
Barras,2201200.0,-4.18993709507622,-42.36806531073247
Barreiras Do Piauí,2201309.0,-10.003556482945875,-45.71040945477743
Barro Duro,2201408.0,-5.801801537785495,-42.50277057043515
Batalha,2201507.0,-4.01758748994361,-42.05785206173305
Bela Vista Do Piauí,2201556.0,-7.99607930609806,-41.855833849575035
Belém Do Piauí,2201572.0,-7.3899427206760695,-40.98243634821724
Beneditinos,2201606.0,-5.499420857090106,-42.39991660984882
Bertolínia,2201705.0,-7.744961350821037,-43.87719833379846
Betânia Do Piauí,2201739.0,-8.113503633345317,-40.75121019213724
Boa Hora,2201770.0,-4.354239115075242,-42.10595452699461
Bocaina,2201804.0,-6.905977324133944,-41.30416024562331
