name_muni,code_muni,lat,lon
Abatiá,4100103.0,-23.30718900171395,-50.30966901149268
Adrianópolis,4100202.0,-24.783523798763373,-48.82122224543137
Agudos Do Sul,4100301.0,-26.02786271341442,-49.3112967661494
Almirante Tamandaré,4100400.0,-25.296522355598366,-49.323724443410974
Altamira Do Paraná,4100459.0,-24.8133504586637,-52.69239424986011
Altônia,4100509.0,-23.902626668472283,-53.94887252604471
Alto Paraná,4100608.0,-23.07619030741057,-52.323587172966114
Alto Piquiri,4100707.0,-24.098370063850858,-53.401976100508094
Alvorada Do Sul,4100806.0,-22.810687671615305,-51.254997786717034
Amaporã,4100905.0,-23.12875771029788,-52.83483177051786
Ampére,4101002.0,-25.91671864822048,-53.483221126142084
Anahy,4101051.0,-24.644193639079212,-53.14382449921872
Andirá,4101101.0,-23.017889346551016,-50.271539328290174
Ângulo,4101150.0,-23.191596778038807,-51.91832040762697
Antonina,4101200.0,-25.305312597879002,-48.7223929663075
Antônio Olinto,4101309.0,-25.96002877780219,-50.12849375278186
Apucarana,4101408.0,-23.572232420027284,-51.446210350160364
Arapongas,4101507.0,-23.440818216213117,-51.4282067861394
Arapoti,4101606.0,-24.09258107680681,-49.97564824427879
Arapuã,4101655.0,-24.34405332370614,-51.815351133456424
Araruna,4101705.0,-23.955209088488512,-52.576672089820555
Araucária,4101804.0,-25.60861972582643,-49.44149283904683
Ariranha Do Ivaí,4101853.0,-24.37711643838079,-51.54082605055145
Assaí,4101903.0,-23.405536154727475,-50.87558010169973
Assis Chateaubriand,4102000.0,-24.426073055316927,-53.58457993554016
Astorga,4102109.0,-23.2500368299708,-51.69971853811175
Atalaia,4102208.0,-23.12867878428136,-52.06493271183041
Balsa Nova,4102307.0,-25.521874002392277,-49.68867540768344
Bandeirantes,4102406.0,-23.160902173447685,-50.346436311960765
Barbosa Ferraz,4102505.0,-24.08228725229727,-52.04668780653441
Barracão,4102604.0,-26.246029190552143,-53.528448678940634
Barra Do Jacaré,4102703.0,-23.105744747011784,-50.15921683656973
Bela Vista Da Caroba,4102752.0,-25.88106664104537,-53.63420251096508
Bela Vista Do Paraíso,4102802.0,-23.005124831710383,-51.235737009207426
Bituruna,4102901.0,-26.171061792695326,-51.52741304976033
Boa Esperança,4103008.0,-24.256840828352868,-52.75114287003374
Boa Esperança Do Iguaçu,4103024.0,-25.64013816226692,-53.22604057430996
Boa Ventura De São Roque,4103040.0,-24.85675081283164,-51.56857691734513
Boa Vista Da Aparecida,4103057.0,-25.434842800206642,-53.422323325326474
Bocaiúva Do Sul,4103107.0,-25.116502353134674,-48.93668776876491
Bom Jesus Do Sul,4103156.0,-26.16241613267761,-53.5525737943548
Bom Sucesso,4103206.0,-23.71304822210347,-51.82428183133886
Bom Sucesso Do Sul,4103222.0,-26.08608967579709,-52.838804306589104
Borrazópolis,4103305.0,-23.939139130757418,-51.592011078825905
Braganey,4103354.0,-24.80147852366897,-53.090498048235396
Brasilândia Do Sul,4103370.0,-24.166155009201074,-53.541772512601405
Cafeara,4103404.0,-22.813015879092642,-51.71131150377066
Cafelândia,4103453.0,-24.69249615804157,-53.36397223067602
Cafezal Do Sul,4103479.0,-23.939338916683628,-53.56177105949873
Califórnia,4103503.0,-23.66878780631208,-51.33381797690069
Cambará,4103602.0,-22.997055996131227,-50.08290275892112
Cambé,4103701.0,-23.179827506508598,-51.28430642268625
Cambira,4103800.0,-23.63037002698226,-51.56738579826706
Campina Da Lagoa,4103909.0,-24.61666725813724,-52.78834366764426
Campina Do Simão,4103958.0,-25.13085483287578,-51.782022918829774
Campina Grande Do Sul,4104006.0,-25.1865343121551,-48.84443209375757
Campo Bonito,4104055.0,-24.931270554372478,-53.01394780874515
Campo Do Tenente,4104105.0,-25.977847409716215,-49.65652044778945
Campo Largo,4104204.0,-25.292559336618783,-49.618662878255776
Campo Magro,4104253.0,-25.289660950389884,-49.462724758413
Campo Mourão,4104303.0,-24.10255179670999,-52.380690180857606
Cândido De Abreu,4104402.0,-24.64562614635257,-51.25323944737421
Candói,4104428.0,-25.52448083650767,-52.0209555672837
Cantagalo,4104451.0,-25.28733527155769,-52.13138242578831
Capanema,4104501.0,-25.61076255446091,-53.763173183760564
Capitão Leônidas Marques,4104600.0,-25.47032301632598,-53.5929659285908
Carambeí,4104659.0,-24.8936142484567,-50.1516436944791
Carlópolis,4104709.0,-23.459769229195494,-49.71279952576536
Cascavel,4104808.0,-25.02963311599945,-53.37967285607575
Castro,4104907.0,-24.799777849056476,-49.84165184843382
Catanduvas,4105003.0,-25.241773596586018,-53.15604672077752
Centenário Do Sul,4105102.0,-22.805453142552608,-51.56062459854735
Cerro Azul,4105201.0,-24.875512418731404,-49.27965066018722
Céu Azul,4105300.0,-25.246547312279066,-53.761774773547046
Chopinzinho,4105409.0,-25.81206066891609,-52.4510001966134
Cianorte,4105508.0,-23.72754247575473,-52.6270362441147
Cidade Gaúcha,4105607.0,-23.382928338453823,-52.95848205282129
Clevelândia,4105706.0,-26.34469274779019,-52.35777802998752
Colombo,4105805.0,-25.306287474074466,-49.18841439829487
Colorado,4105904.0,-22.836159911216374,-51.971771870772585
Congonhinhas,4106001.0,-23.605729243531332,-50.50383891392028
Conselheiro Mairinck,4106100.0,-23.597427524572627,-50.12968186599141
Contenda,4106209.0,-25.71913395396646,-49.52614150600244
Corbélia,4106308.0,-24.74270494094473,-53.237046400449685
Cornélio Procópio,4106407.0,-23.225860443092543,-50.623514396702205
Coronel Domingos Soares,4106456.0,-26.18244814146889,-51.92516071286483
Coronel Vivida,4106506.0,-25.992567249231904,-52.56429292808015
Corumbataí Do Sul,4106555.0,-24.123761831511445,-52.142150676781924
Cruzeiro Do Iguaçu,4106571.0,-25.595436220499383,-53.129695445525215
Cruzeiro Do Oeste,4106605.0,-23.75903424010868,-53.08331303832338
Cruzeiro Do Sul,4106704.0,-22.988054553459932,-52.162647956369376
Cruz Machado,4106803.0,-25.922475805770926,-51.23225069598007
Cruzmaltina,4106852.0,-24.019927195596384,-51.47543069964562
Curitiba,4106902.0,-25.47796713081846,-49.28825528973921
Curiúva,4107009.0,-24.01322644543211,-50.465665153051106
Diamante Do Norte,4107108.0,-22.635049618535465,-52.89274231816719
Diamante Do Sul,4107124.0,-24.990544192961806,-52.70410487995211
Diamante D'oeste,4107157.0,-24.954241588793465,-54.100320189396285
Dois Vizinhos,4107207.0,-25.750215723622908,-53.07538590430566
Douradina,4107256.0,-23.347652150335616,-53.2900011581475
Doutor Camargo,4107306.0,-23.56119972142599,-52.21483258065029
Enéas Marques,4107405.0,-25.906653061116803,-53.153757575932836
Engenheiro Beltrão,4107504.0,-23.759897779538637,-52.26976560498323
Esperança Nova,4107520.0,-23.71443530454445,-53.79870779123719
Entre Rios Do Oeste,4107538.0,-24.712926358471943,-54.22245057317352
Espigão Alto Do Iguaçu,4107546.0,-25.35273346276018,-52.78713912068991
Farol,4107553.0,-24.12334839581525,-52.62878948019281
Faxinal,4107603.0,-24.003381517373214,-51.28484434175854
Fazenda Rio Grande,4107652.0,-25.676444253255443,-49.29747113883744
Fênix,4107702.0,-23.90107793414253,-52.02975223975124
Fernandes Pinheiro,4107736.0,-25.51672225510308,-50.510258883614384
Figueira,4107751.0,-23.87629286852223,-50.430317922883816
Floraí,4107801.0,-23.332791536056433,-52.34846018805993
Flor Da Serra Do Sul,4107850.0,-26.23815089161529,-53.28662376338966
Floresta,4107900.0,-23.60719781852607,-52.090026514322474
