name_muni,code_muni,lat,lon
Angra Dos Reis,3300100.0,-22.986736413869075,-44.35257943792739
Aperibé,3300159.0,-21.65233375429481,-42.13468796013213
Araruama,3300209.0,-22.75547819106828,-42.29296709665643
Areal,3300225.0,-22.235412913012254,-43.12165476242349
Armação Dos Búzios,3300233.0,-22.77610579409485,-41.94955982192632
Arraial Do Cabo,3300258.0,-22.925160349535588,-42.16005152757437
Barra Do Piraí,3300308.0,-22.42567436682738,-43.91285305002715
Barra Mansa,3300407.0,-22.50594106675426,-44.18837820161097
Belford Roxo,3300456.0,-22.72867716126257,-43.377611150417955
Bom Jardim,3300506.0,-22.19976148723292,-42.37169517742112
Bom Jesus Do Itabapoana,3300605.0,-21.12348678304493,-41.68320460463237
Cabo Frio,3300704.0,-22.711939108598944,-42.05692016129667
Cachoeiras De Macacu,3300803.0,-22.51615606253782,-42.72838475911006
Cambuci,3300902.0,-21.4970510690252,-41.91485936935461
Carapebus,3300936.0,-22.19611312427954,-41.6509108968917
Comendador Levy Gasparian,3300951.0,-22.043826074133488,-43.255989728269974
Campos Dos Goytacazes,3301009.0,-21.748264588100508,-41.404134418282226
Cantagalo,3301108.0,-21.868429014664265,-42.33390512138492
Cardoso Moreira,3301157.0,-21.52539585349956,-41.50030790685283
Carmo,3301207.0,-21.89552367739239,-42.566458206750816
Casimiro De Abreu,3301306.0,-22.48188725554848,-42.144172479425286
Conceição De Macabu,3301405.0,-22.136631474523636,-41.84657257513195
Cordeiro,3301504.0,-22.05874067170104,-42.34228275691406
Duas Barras,3301603.0,-22.055660182940578,-42.49805414258136
Duque De Caxias,3301702.0,-22.63238327687263,-43.29956014467903
Engenheiro Paulo De Frontin,3301801.0,-22.5082705512851,-43.636083718423016
Guapimirim,3301850.0,-22.5835470534923,-42.96398272269686
Iguaba Grande,3301876.0,-22.82749815128434,-42.21801632909428
Itaboraí,3301900.0,-22.750092210736906,-42.854335946411595
Itaguaí,3302007.0,-22.83466259340732,-43.812312918600846
Italva,3302056.0,-21.423931170961644,-41.65386310066591
Itaocara,3302106.0,-21.726883137794694,-42.08226770303675
Itaperuna,3302205.0,-21.22510982655304,-41.89397536906089
Itatiaia,3302254.0,-22.44174510941682,-44.58783956742653
Japeri,3302270.0,-22.662019980897142,-43.60569225418738
Laje Do Muriaé,3302304.0,-21.250168632128954,-42.135092040581405
Macaé,3302403.0,-22.295856426146052,-41.97664852557491
Macuco,3302452.0,-22.0240131105173,-42.27354565692449
Magé,3302502.0,-22.612659465190276,-43.113025765882455
Mangaratiba,3302601.0,-22.954346557864778,-44.037904566012145
Maricá,3302700.0,-22.91539000395984,-42.81714226426549
Mendes,3302809.0,-22.521674840794255,-43.73981419338965
Mesquita,3302858.0,-22.799342193193556,-43.4523083813041
Miguel Pereira,3302908.0,-22.50655663015867,-43.46926091205043
Miracema,3303005.0,-21.395607748859522,-42.15214906583771
Natividade,3303104.0,-21.04165976856401,-41.9312292022526
Nilópolis,3303203.0,-22.82086896810055,-43.42869016288437
Niterói,3303302.0,-22.91492667255856,-43.05544344609127
Nova Friburgo,3303401.0,-22.31915315850964,-42.5010587837674
Nova Iguaçu,3303500.0,-22.68674828528362,-43.5018416866763
Paracambi,3303609.0,-22.617874742860092,-43.72145615368125
Paraíba Do Sul,3303708.0,-22.18193789757811,-43.30426247673403
Paraty,3303807.0,-23.14849383868436,-44.70635637315249
Paty Do Alferes,3303856.0,-22.36712491537905,-43.40403090173989
Petrópolis,3303906.0,-22.397982177120895,-43.156852539255766
Pinheiral,3303955.0,-22.543264380612154,-43.997491031958496
Piraí,3304003.0,-22.633672613519995,-43.901699961105514
Porciúncula,3304102.0,-20.906678732865768,-41.96966501650305
Porto Real,3304110.0,-22.441113567226775,-44.326010195536035
Quatis,3304128.0,-22.355196798603377,-44.237159975819274
Queimados,3304144.0,-22.725427165667536,-43.5849334160582
Quissamã,3304151.0,-22.104871594503138,-41.444470563913725
Resende,3304201.0,-22.440759101749027,-44.48534670580136
Rio Bonito,3304300.0,-22.734967528449392,-42.588043093586265
Rio Claro,3304409.0,-22.780510513053628,-44.07836913044634
Rio Das Flores,3304508.0,-22.159929307573197,-43.53861284234792
Rio Das Ostras,3304524.0,-22.454415822734116,-41.94636572745726
Rio De Janeiro,3304557.0,-22.923297368004086,-43.4510601421861
Santa Maria Madalena,3304607.0,-21.969664317764934,-41.91343417558754
Santo Antônio De Pádua,3304706.0,-21.555659844549485,-42.19290537210703
São Francisco De Itabapoana,3304755.0,-21.417822251500844,-41.135149316006235
São Fidélis,3304805.0,-21.6599957019934,-41.786989972699395
São Gonçalo,3304904.0,-22.825574067861446,-42.99705174479822
São João Da Barra,3305000.0,-21.782399473274353,-41.08074232682932
São João De Meriti,3305109.0,-22.78506258385968,-43.3650986624935
São José De Ubá,3305133.0,-21.37079474029273,-41.94931725610007
São José Do Vale Do Rio Preto,3305158.0,-22.16970712959793,-42.932500649143094
São Pedro Da Aldeia,3305208.0,-22.788441761772898,-42.12604584338495
São Sebastião Do Alto,3305307.0,-21.883395782046644,-42.10227982122993
Sapucaia,3305406.0,-22.02417442185754,-42.82280200233151
Saquarema,3305505.0,-22.87822629247,-42.51898040673783
Seropédica,3305554.0,-22.7556121244011,-43.69862336278424
Silva Jardim,3305604.0,-22.56765689388222,-42.41328104385415
Sumidouro,3305703.0,-22.10713007629823,-42.6641849390133
Tanguá,3305752.0,-22.782256084384606,-42.725361417012294
Teresópolis,3305802.0,-22.31410839081659,-42.87337013677343
Trajano De Moraes,3305901.0,-22.129774052228147,-42.154980785947124
Três Rios,3306008.0,-22.12477361241905,-43.11218886312913
Valença,3306107.0,-22.23426222528291,-43.85747599474239
Varre-Sai,3306156.0,-20.892886727672213,-41.82974195089162
Vassouras,3306206.0,-22.35864168818247,-43.569685095407316
Volta Redonda,3306305.0,-22.490615686040243,-44.08888324334057
