name_muni,code_muni,lat,lon
Acari,2400109.0,-6.409427650244659,-36.65010357684972
Açu,2400208.0,-5.526706434694804,-37.014107267558806
Afonso Bezerra,2400307.0,-5.471407652111181,-36.59992723182315
Água Nova,2400406.0,-6.208645436408342,-38.308713621874894
Alexandria,2400505.0,-6.36445439372901,-37.98925631234679
Almino Afonso,2400604.0,-6.154414077484409,-37.76286572297148
Alto Do Rodrigues,2400703.0,-5.362319609240703,-36.72348884269261
Angicos,2400802.0,-5.646247152245239,-36.55705932627692
Antônio Martins,2400901.0,-6.219668604690951,-37.92494998393211
Apodi,2401008.0,-5.628304881773397,-37.83566455579529
Areia Branca,2401107.0,-5.0010340739542025,-37.04609432890624
Arês,2401206.0,-6.193587389224653,-35.20808041680505
Campo Grande,2401305.0,-5.881059174401336,-37.324720904542595
Baía Formosa,2401404.0,-6.43470173343268,-35.044839425914766
Baraúna,2401453.0,-5.092686881768782,-37.61828038093937
Barcelona,2401503.0,-5.960966134402468,-35.92195827182878
Bento Fernandes,2401602.0,-5.67591853720528,-35.81185840559316
Bodó,2401651.0,-5.962869237608124,-36.44175758931768
Bom Jesus,2401701.0,-6.0008193558542775,-35.59079348957988
Brejinho,2401800.0,-6.218120778643583,-35.383559291570236
Caiçara Do Norte,2401859.0,-5.191794344652713,-36.08323469000964
Caiçara Do Rio Do Vento,2401909.0,-5.766119434914197,-36.026512468290896
Caicó,2402006.0,-6.467722948695621,-37.03799324306057
Campo Redondo,2402105.0,-6.237850453504081,-36.20889155882289
Canguaretama,2402204.0,-6.394954831330167,-35.14839241388382
Caraúbas,2402303.0,-5.76730927006793,-37.583773679767035
Carnaúba Dos Dantas,2402402.0,-6.553270824330992,-36.5488485435177
Carnaubais,2402501.0,-5.264110363911119,-36.85729112244332
Ceará-Mirim,2402600.0,-5.595465559411246,-35.395207433796685
Cerro Corá,2402709.0,-5.98933658468702,-36.327123019289935
Coronel Ezequiel,2402808.0,-6.35721047016221,-36.195886937389766
Coronel João Pessoa,2402907.0,-6.255457410203198,-38.422836581619734
Cruzeta,2403004.0,-6.35590972579298,-36.82495601776574
Currais Novos,2403103.0,-6.223564920035316,-36.44353898035014
Doutor Severiano,2403202.0,-6.115381325341803,-38.40133359134257
Parnamirim,2403251.0,-5.914253997167065,-35.230053353757555
Encanto,2403301.0,-6.134160420107427,-38.30642917529098
Equador,2403400.0,-6.881933667482988,-36.66609920891066
Espírito Santo,2403509.0,-6.305650358153706,-35.304497872326046
Extremoz,2403608.0,-5.680943667307669,-35.268493150280015
Felipe Guerra,2403707.0,-5.5397630202576105,-37.65588437083648
Fernando Pedroza,2403756.0,-5.760477860392762,-36.3921158019368
Florânia,2403806.0,-6.169682156735483,-36.818457367579185
Francisco Dantas,2403905.0,-6.0529538557278375,-38.10855489203067
Frutuoso Gomes,2404002.0,-6.161146012834749,-37.83899046611658
Galinhos,2404101.0,-5.175699547169044,-36.207967490808954
Goianinha,2404200.0,-6.287812032726493,-35.213925498722126
Governador Dix-Sept Rosado,2404309.0,-5.395085560834132,-37.53674275985359
Grossos,2404408.0,-4.947511940911804,-37.21043302958493
Guamaré,2404507.0,-5.174819394614154,-36.34392213498681
Ielmo Marinho,2404606.0,-5.784100752084766,-35.55035623821253
Ipanguaçu,2404705.0,-5.5381683189189435,-36.802639259954056
Ipueira,2404804.0,-6.774152282892176,-37.18621062468731
Itajá,2404853.0,-5.690013981536186,-36.808081587008516
Itaú,2404903.0,-5.818454442717392,-37.91647201550278
Jaçanã,2405009.0,-6.411023223554679,-36.21437844951541
Jandaíra,2405108.0,-5.357027685441127,-36.13825127619893
Janduís,2405207.0,-5.99694139910587,-37.474784425537884
Januário Cicco,2405306.0,-6.151838452308455,-35.60045959910535
Japi,2405405.0,-6.432841330950299,-35.8990124708021
Jardim De Angicos,2405504.0,-5.613926367121385,-35.98683470002864
Jardim De Piranhas,2405603.0,-6.334367991893439,-37.28583126953582
Jardim Do Seridó,2405702.0,-6.587751892531074,-36.8065928218165
João Câmara,2405801.0,-5.4754313613564225,-35.87396656941518
João Dias,2405900.0,-6.287954422535427,-37.837925864798564
José Da Penha,2406007.0,-6.340552908014883,-38.2830297226941
