name_muni,code_muni,lat,lon
Alta Floresta D'oeste,1100015.0,-12.470882429669544,-62.27474321502127
Ariquemes,1100023.0,-9.951964782764366,-62.95716260095889
Cabixi,1100031.0,-13.474943251028348,-60.63987777184846
Cacoal,1100049.0,-11.30136969758775,-61.324763452834546
Cerejeiras,1100056.0,-13.203549396546075,-61.26091717309738
Colorado Do Oeste,1100064.0,-13.159125053366079,-60.5502232392079
Corumbiara,1100072.0,-12.926691394028994,-61.091635159202795
Costa Marques,1100080.0,-12.147520315715377,-64.05884069242579
Espigão D'oeste,1100098.0,-11.35142202018768,-60.784823306483794
Guajará-Mirim,1100106.0,-11.306448891878812,-64.53748702393608
Jaru,1100114.0,-10.592499361455536,-62.58512773337668
Ji-Paraná,1100122.0,-10.462945670762087,-61.757379456896125
Machadinho D'oeste,1100130.0,-9.20441291952277,-62.010460696452306
Nova Brasilândia D'oeste,1100148.0,-11.643371727657767,-62.28034286521668
Ouro Preto Do Oeste,1100155.0,-10.610638547008781,-62.172752340558404
Pimenta Bueno,1100189.0,-11.894683329895846,-60.83028550660082
Porto Velho,1100205.0,-9.155002370072607,-64.30806000922568
Presidente Médici,1100254.0,-11.166278687073362,-61.87798027898586
Rio Crespo,1100262.0,-9.645147113874765,-62.790070205967666
Rolim De Moura,1100288.0,-11.732577488061873,-61.77155000833016
Santa Luzia D'oeste,1100296.0,-12.027263299396258,-61.70097073997833
Vilhena,1100304.0,-12.097429524660583,-60.24846665397487
São Miguel Do Guaporé,1100320.0,-11.615378798983269,-62.98310124676102
Nova Mamoré,1100338.0,-10.382384913587591,-64.6289961793974
Alvorada D'oeste,1100346.0,-11.311486144816268,-62.54496373834457
Alto Alegre Dos Parecis,1100379.0,-12.594145665639612,-61.880884998180576
Alto Paraíso,1100403.0,-9.6495414763141,-63.39426949065035
Buritis,1100452.0,-10.052148196768583,-63.94114896457177
Novo Horizonte Do Oeste,1100502.0,-11.681064372012292,-62.083201877801415
Cacaulândia,1100601.0,-10.331636747381367,-62.98723443114633
Campo Novo De Rondônia,1100700.0,-10.48503426120192,-63.79969977251164
Candeias Do Jamari,1100809.0,-8.887347307152709,-63.32573468631994
Castanheiras,1100908.0,-11.47079373193266,-61.88007313599567
Chupinguaia,1100924.0,-12.537514313079976,-60.898365421053995
Cujubim,1100940.0,-9.171299178230585,-62.56539448993353
Governador Jorge Teixeira,1101005.0,-10.748248503521031,-63.18405639356384
Itapuã Do Oeste,1101104.0,-9.17028060882815,-63.04500248059613
Ministro Andreazza,1101203.0,-11.160486746110019,-61.56903303688467
Mirante Da Serra,1101302.0,-11.076806873138485,-62.84798256965398
Monte Negro,1101401.0,-10.211077207323342,-63.372411501016
Nova União,1101435.0,-10.889397625268987,-62.53245752702847
Parecis,1101450.0,-12.262403083548568,-61.41526556028445
Pimenteiras Do Oeste,1101468.0,-13.17430390026098,-61.54524858786465
Primavera De Rondônia,1101476.0,-11.878797787555367,-61.31538318932723
São Felipe D'oeste,1101484.0,-11.90471729112715,-61.467059596082755
São Francisco Do Guaporé,1101492.0,-12.369050711119739,-63.12185202072437
Seringueiras,1101500.0,-11.807414763919548,-63.23065712319487
Teixeirópolis,1101559.0,-10.943625449914547,-62.27979145078703
Theobroma,1101609.0,-10.12178635297932,-62.3424337526885
Urupá,1101708.0,-11.104048153163879,-62.42458203530628
Vale Do Anari,1101757.0,-9.732548212697425,-61.93926108063134
Vale Do Paraíso,1101807.0,-10.384268377442362,-62.09405660008576
