name_muni,code_muni,lat,lon
Aceguá,4300034.0,-31.690824569467136,-54.13903457399702
Água Santa,4300059.0,-28.213915522945143,-52.051750222466595
Agudo,4300109.0,-29.608236605930404,-53.22662103161623
Ajuricaba,4300208.0,-28.209949168051033,-53.73725766517427
Alecrim,4300307.0,-27.65179343094464,-54.783250771100256
Alegrete,4300406.0,-29.764593600052255,-55.83542725058203
Alegria,4300455.0,-27.813655438265844,-54.05628383176471
Almirante Tamandaré Do Sul,4300471.0,-28.12992473833409,-52.9076677064642
Alpestre,4300505.0,-27.217461510541785,-53.063492234775794
Alto Alegre,4300554.0,-28.804252549222465,-52.98899337049314
Alto Feliz,4300570.0,-29.36294998483589,-51.30493644369146
Alvorada,4300604.0,-29.994993669722874,-51.03731503625506
Amaral Ferrador,4300638.0,-30.810323017617307,-52.31721786196264
Ametista Do Sul,4300646.0,-27.36557592059879,-53.19270233258922
André Da Rocha,4300661.0,-28.594335019226595,-51.50419454880296
Anta Gorda,4300703.0,-28.970257292568174,-51.99467935779106
Antônio Prado,4300802.0,-28.88243118344082,-51.316552358903515
Arambaré,4300851.0,-30.918762088093594,-51.57853740770959
Araricá,4300877.0,-29.635216249512006,-50.93456065781804
Aratiba,4300901.0,-27.387551817615783,-52.30239302204338
Arroio Do Meio,4301008.0,-29.362169224801708,-51.964973585371034
Arroio Do Sal,4301057.0,-29.520417033807867,-49.89268894094513
Arroio Do Padre,4301073.0,-31.44037954040221,-52.397492404707165
Arroio Dos Ratos,4301107.0,-30.19298454328957,-51.751937642886205
Arroio Do Tigre,4301206.0,-29.258824959276883,-53.05225094251593
Arroio Grande,4301305.0,-32.18872496675678,-52.92001050849652
Arvorezinha,4301404.0,-28.86411039599015,-52.18697663403128
Augusto Pestana,4301503.0,-28.533964727505246,-54.00705703151303
Áurea,4301552.0,-27.7085617121466,-52.07654653448044
Bagé,4301602.0,-31.237017808631553,-54.017066079485424
Balneário Pinhal,4301636.0,-30.210892212445977,-50.293957564578406
Barão,4301651.0,-29.385126574020585,-51.488682290256975
Barão De Cotegipe,4301701.0,-27.56772241908433,-52.41709522042849
Barão Do Triunfo,4301750.0,-30.41740820882619,-51.79847099788892
Barracão,4301800.0,-27.723212789429333,-51.43864528824949
Barra Do Guarita,4301859.0,-27.205387511944284,-53.76361589386331
Barra Do Quaraí,4301875.0,-30.151463614540393,-57.33530267059262
Barra Do Ribeiro,4301909.0,-30.37392348705027,-51.35768470168406
Barra Do Rio Azul,4301925.0,-27.40302242917489,-52.406741361872086
Barra Funda,4301958.0,-27.921684049672898,-53.01656812090273
Barros Cassal,4302006.0,-29.11342300320042,-52.58859366906257
Benjamin Constant Do Sul,4302055.0,-27.48479478453536,-52.64260631898039
Bento Gonçalves,4302105.0,-29.125739036030428,-51.55181186019907
Boa Vista Das Missões,4302154.0,-27.701579579590547,-53.341536528740335
Boa Vista Do Buricá,4302204.0,-27.674828022343377,-54.0997889655335
Boa Vista Do Cadeado,4302220.0,-28.65617840217649,-53.837637206734236
Boa Vista Do Incra,4302238.0,-28.865276726686183,-53.461520388161105
Boa Vista Do Sul,4302253.0,-29.351279711093984,-51.67239705436588
Bom Jesus,4302303.0,-28.598374581297783,-50.42327951621724
Bom Princípio,4302352.0,-29.470395694077133,-51.363513888484476
Bom Progresso,4302378.0,-27.545307718197517,-53.84891923584799
Bom Retiro Do Sul,4302402.0,-29.63774556775271,-51.922468618115346
Boqueirão Do Leão,4302451.0,-29.305757240159224,-52.41392410861348
Bossoroca,4302501.0,-28.661888337398505,-54.97133460098981
Bozano,4302584.0,-28.354338181570668,-53.751790278383005
Braga,4302600.0,-27.581192108961186,-53.74223888880936
Brochier,4302659.0,-29.537028977388964,-51.622252053487635
Butiá,4302709.0,-30.183800643343346,-52.00490979819352
Caçapava Do Sul,4302808.0,-30.59388023436908,-53.47803478836302
Cacequi,4302907.0,-29.92053880114206,-54.80286569642515
Cachoeira Do Sul,4303004.0,-30.20682574564224,-52.98650904039422
Cachoeirinha,4303103.0,-29.92096438849546,-51.09542092189299
Cacique Doble,4303202.0,-27.814192534088306,-51.67687697881798
Caibaté,4303301.0,-28.335345119420182,-54.655158458049534
Caiçara,4303400.0,-27.246533541927185,-53.466559583466086
Camaquã,4303509.0,-30.923131543274025,-51.78843053342602
Camargo,4303558.0,-28.616411068641106,-52.22121670588126
Cambará Do Sul,4303608.0,-29.058366915305694,-50.1353309837476
Campestre Da Serra,4303673.0,-28.72626273224641,-51.09865417434462
Campina Das Missões,4303707.0,-27.96299030789486,-54.834085596826164
Campinas Do Sul,4303806.0,-27.7362948600626,-52.65749950070398
Campo Bom,4303905.0,-29.672639218316576,-51.04859479917323
Campo Novo,4304002.0,-27.66833943863575,-53.824594235454924
Campos Borges,4304101.0,-28.905674631977934,-53.057691801852
Candelária,4304200.0,-29.700704244986493,-52.81313485181625
Cândido Godói,4304309.0,-27.933812741288495,-54.71940382793545
Candiota,4304358.0,-31.55462020319823,-53.7457704643037
Canela,4304408.0,-29.351385568161216,-50.775195220574076
Canguçu,4304507.0,-31.218071369966268,-52.6696773188915
Canoas,4304606.0,-29.912266745835907,-51.179632319153285
Canudos Do Vale,4304614.0,-29.327017550910988,-52.23419585269381
Capão Bonito Do Sul,4304622.0,-28.152469236245757,-51.38923123158101
Capão Da Canoa,4304630.0,-29.679646784902797,-49.999612686311664
Capão Do Cipó,4304655.0,-28.959402246766885,-54.58232642911102
Capão Do Leão,4304663.0,-31.833419739380602,-52.53819112095058
Capivari Do Sul,4304671.0,-30.13487807374804,-50.5117650488614
Capela De Santana,4304689.0,-29.70592856416789,-51.35744870752716
Capitão,4304697.0,-29.28322569907497,-51.98440336123905
Carazinho,4304705.0,-28.277965867424044,-52.86363377766791
Caraá,4304713.0,-29.772245142816285,-50.34181054717894
Carlos Barbosa,4304804.0,-29.32171857640077,-51.504557934499346
Carlos Gomes,4304853.0,-27.70425973177818,-51.92973917531444
Casca,4304903.0,-28.594425865009274,-51.96729007028072
Caseiros,4304952.0,-28.248381242416333,-51.7370193215347
Catuípe,4305009.0,-28.16860811370017,-54.03440271935835
Caxias Do Sul,4305108.0,-29.102463976009343,-51.023777543115045
Centenário,4305116.0,-27.775411562878894,-52.0030985376409
Cerrito,4305124.0,-31.729819402235503,-52.79599729775017
Cerro Branco,4305132.0,-29.62709935443708,-52.99552951256138
Cerro Grande,4305157.0,-27.628598977627146,-53.16306121651566
Cerro Grande Do Sul,4305173.0,-30.583956001328282,-51.760258109747966
Cerro Largo,4305207.0,-28.13083196051213,-54.739448295198095
Chapada,4305306.0,-28.096989912159852,-53.115082819697385
Charqueadas,4305355.0,-29.990248567721682,-51.55617927717058
Charrua,4305371.0,-27.94502524835545,-52.000439656082385
Chiapetta,4305405.0,-27.986511439460227,-53.90989491224791
Chuí,4305439.0,-33.65258888964178,-53.412669474903964
