name_muni,code_muni,lat,lon
Abdon Batista,4200051.0,-27.58376952178077,-51.056330592295836
Abelardo Luz,4200101.0,-26.562468137934662,-52.255746496575334
Agrolândia,4200200.0,-27.455168930404458,-49.824785048589604
Agronômica,4200309.0,-27.32757298900572,-49.72072297995233
Água Doce,4200408.0,-26.76467966604526,-51.61231961865332
Águas De Chapecó,4200507.0,-27.05440724515431,-52.956629528659796
Águas Frias,4200556.0,-26.851618867001143,-52.85229218388599
Águas Mornas,4200606.0,-27.733376966632154,-48.93599583117696
Alfredo Wagner,4200705.0,-27.706015506367294,-49.330754625632686
Alto Bela Vista,4200754.0,-27.421529854143127,-51.92582086340419
Anchieta,4200804.0,-26.532996822802062,-53.33307012776643
Angelina,4200903.0,-27.543027194773302,-49.06726808706053
Anita Garibaldi,4201000.0,-27.73033085416912,-51.079472917657675
Anitápolis,4201109.0,-27.8799303828956,-49.13873288187306
Antônio Carlos,4201208.0,-27.49747026693062,-48.83105348011517
Apiúna,4201257.0,-27.124580680765142,-49.36420055533118
Arabutã,4201273.0,-27.14090923270024,-52.18160435371415
Araquari,4201307.0,-26.461706496101424,-48.75775927315662
Araranguá,4201406.0,-28.94235881576816,-49.4711827156531
Armazém,4201505.0,-28.237902402295408,-49.014588051905484
Arroio Trinta,4201604.0,-26.921619311651458,-51.336661719453915
Arvoredo,4201653.0,-27.07093860388428,-52.44192328281313
Ascurra,4201703.0,-26.97362067619576,-49.39590705602828
Atalanta,4201802.0,-27.437252886372775,-49.7426297292215
Aurora,4201901.0,-27.32965718041026,-49.59038725909841
Balneário Arroio Do Silva,4201950.0,-29.019533769920614,-49.47521301393333
Balneário Camboriú,4202008.0,-27.00480921606716,-48.621544046797304
Balneário Barra Do Sul,4202057.0,-26.44641448475039,-48.65247330185341
Balneário Gaivota,4202073.0,-29.15356205225834,-49.61551417279455
Bandeirante,4202081.0,-26.768656194660444,-53.64833206407254
Barra Bonita,4202099.0,-26.66831246272823,-53.425114399212895
Barra Velha,4202107.0,-26.662451499429046,-48.72726099053364
Bela Vista Do Toldo,4202131.0,-26.418246888623553,-50.48681733890452
Belmonte,4202156.0,-26.857020565124113,-53.618078342362885
Benedito Novo,4202206.0,-26.801033814377774,-49.43542858901977
Biguaçu,4202305.0,-27.433594428715164,-48.693860466825704
Blumenau,4202404.0,-26.885910316030724,-49.0973272725213
Bocaina Do Sul,4202438.0,-27.76322099462931,-49.909102057820675
Bombinhas,4202453.0,-27.17318594966974,-48.517494947749974
Bom Jardim Da Serra,4202503.0,-28.361184628479204,-49.65246245887083
Bom Jesus,4202537.0,-26.739059475237053,-52.38999685169609
Bom Jesus Do Oeste,4202578.0,-26.68403451932906,-53.095292457507654
Bom Retiro,4202602.0,-27.78539714190674,-49.56293133604736
Botuverá,4202701.0,-27.218649379683345,-49.123536799460716
Braço Do Norte,4202800.0,-28.24094177530919,-49.142422955305236
Braço Do Trombudo,4202859.0,-27.368573800250854,-49.90365389230863
Brunópolis,4202875.0,-27.34704836182247,-50.84494575073467
Brusque,4202909.0,-27.12503836279155,-48.90977232646823
