name_muni,code_muni,lat,lon
Adamantina,3500105.0,-21.576721317228166,-51.05680251289773
Adolfo,3500204.0,-21.288745313740854,-49.653229393202764
Aguaí,3500303.0,-22.04996239468773,-47.040311566835925
Águas Da Prata,3500402.0,-21.913688720152173,-46.69172177859804
Águas De Lindóia,3500501.0,-22.474804155267456,-46.60371723239546
Águas De Santa Bárbara,3500550.0,-22.857924901538073,-49.261094630007456
Águas De São Pedro,3500600.0,-22.59877659736439,-47.87599260000586
Agudos,3500709.0,-22.572057126287312,-49.10884451764046
Alambari,3500758.0,-23.54896775400894,-47.86907594752069
Alfredo Marcondes,3500808.0,-21.934960335557065,-51.395592529764535
Altair,3500907.0,-20.53341859932814,-49.09384272737043
Altinópolis,3501004.0,-21.01816018593719,-47.386209782847764
Alto Alegre,3501103.0,-21.612617182702312,-50.192093591455375
Alumínio,3501152.0,-23.533106998882346,-47.28124332786137
Álvares Florence,3501202.0,-20.289507852647255,-49.9202345429536
Álvares Machado,3501301.0,-22.131397325214742,-51.51476773460726
Álvaro De Carvalho,3501400.0,-22.086599863590315,-49.73400513989229
Alvinlândia,3501509.0,-22.452567127850802,-49.758579008909834
Americana,3501608.0,-22.72340311645897,-47.28908608513513
Américo Brasiliense,3501707.0,-21.722213757385163,-48.03227078856517
Américo De Campos,3501806.0,-20.28950684498904,-49.7680613079741
Amparo,3501905.0,-22.699151812470856,-46.79870489813876
Analândia,3502002.0,-22.121092161146812,-47.67795429483878
Andradina,3502101.0,-20.83572646591706,-51.32977565725099
Angatuba,3502200.0,-23.436932999562554,-48.45927050356063
Anhembi,3502309.0,-22.80014783428084,-48.1746713424583
Anhumas,3502408.0,-22.362062963862066,-51.427766783418534
Aparecida,3502507.0,-22.91414978332875,-45.23722988510817
Aparecida D'oeste,3502606.0,-20.478912913704693,-50.922027686764594
Apiaí,3502705.0,-24.421520621455763,-48.817340707638394
Araçariguama,3502754.0,-23.434477468017803,-47.07238025899746
Araçatuba,3502804.0,-21.113984622079716,-50.57446972334139
Araçoiaba Da Serra,3502903.0,-23.54390535832123,-47.65151946865573
Aramina,3503000.0,-20.14489037941101,-47.820632667184
Arandu,3503109.0,-23.177688231984185,-49.064007281579016
Arapeí,3503158.0,-22.672982033508493,-44.438548978400085
Araraquara,3503208.0,-21.791716124509122,-48.1812540012615
Araras,3503307.0,-22.346149782980955,-47.32386079704798
Arco-Íris,3503356.0,-21.766342775153408,-50.43089287961764
Arealva,3503406.0,-22.076267151939255,-48.98188993980046
Areias,3503505.0,-22.673212343158056,-44.71235378399228
Areiópolis,3503604.0,-22.63178218002948,-48.65283427069551
Ariranha,3503703.0,-21.185620459079413,-48.77924116678711
Artur Nogueira,3503802.0,-22.5612929036967,-47.132187801517574
Arujá,3503901.0,-23.385998993560698,-46.319009623908364
Aspásia,3503950.0,-20.18349417807092,-50.72804731379245
Assis,3504008.0,-22.601797422091607,-50.42073683424773
Atibaia,3504107.0,-23.123348497995917,-46.586793796713145
Auriflama,3504206.0,-20.64416338493018,-50.57994104753214
Avaí,3504305.0,-22.187258938136104,-49.31628353128559
Avanhandava,3504404.0,-21.460604712867767,-49.94733063115812
Avaré,3504503.0,-23.075375445335446,-48.89401187696236
Bady Bassitt,3504602.0,-20.931499007285876,-49.43764388786406
Balbinos,3504701.0,-21.89239624086583,-49.333019447252425
Bálsamo,3504800.0,-20.709598475521563,-49.55190299720933
Bananal,3504909.0,-22.733868300832327,-44.33445273643019
Barão De Antonina,3505005.0,-23.582933768230827,-49.571931976132795
Barbosa,3505104.0,-21.29072287949024,-49.92197196744723
Bariri,3505203.0,-22.06678572459533,-48.71887392782413
Barra Bonita,3505302.0,-22.479399637446413,-48.541668092578625
Barra Do Chapéu,3505351.0,-24.443870794714176,-49.085253842533476
Barra Do Turvo,3505401.0,-24.888786328202514,-48.42696703800199
Barretos,3505500.0,-20.514246997975153,-48.652007098735844
Barrinha,3505609.0,-21.23252524742456,-48.09509692603924
Barueri,3505708.0,-23.50528342407082,-46.87723322911175
Bastos,3505807.0,-21.950263450022053,-50.743890793574366
Batatais,3505906.0,-20.867849374241704,-47.57471094193336
Bauru,3506003.0,-22.25396591462451,-49.12609932833414
Bebedouro,3506102.0,-20.940503113317984,-48.5107468477342
Bento De Abreu,3506201.0,-21.331775092677006,-50.86195888848164
Bernardino De Campos,3506300.0,-23.03091192855408,-49.49187808721783
Bertioga,3506359.0,-23.75983655822674,-46.03009447422921
Bilac,3506409.0,-21.427800675069,-50.47927805928335
