name_muni,code_muni,lat,lon
Abreulândia,1700251.0,-9.478854289515123,-49.311242620901524
Aguiarnópolis,1700301.0,-6.488538352929873,-47.51345083877316
Aliança Do Tocantins,1700350.0,-11.331210395005588,-48.90831834461529
Almas,1700400.0,-11.429799512514245,-47.21114549073481
Alvorada,1700707.0,-12.407556359776006,-49.111773049746766
Ananás,1701002.0,-6.232727316799927,-48.186613742361075
Angico,1701051.0,-6.4359009989395854,-47.9131606545448
Aparecida Do Rio Negro,1701101.0,-9.986656662869677,-48.00008461038023
Aragominas,1701309.0,-6.945529768407621,-48.632364709061825
Araguacema,1701903.0,-8.93914423832909,-49.505568124274795
Araguaçu,1702000.0,-12.840020084972272,-49.69628805666938
Araguaína,1702109.0,-7.331351648540436,-48.587809306423836
Araguanã,1702158.0,-6.791052270366041,-48.52446922425707
Araguatins,1702208.0,-5.665872295072904,-48.10479214212044
Arapoema,1702307.0,-7.723468148777998,-48.999795672864096
Arraias,1702406.0,-12.817490733616618,-47.04785241021232
Augustinópolis,1702554.0,-5.497887548847748,-47.928100676313534
Aurora Do Tocantins,1702703.0,-12.646670960452331,-46.43289023115312
Axixá Do Tocantins,1702901.0,-5.649356023466902,-47.766094797578525
Babaçulândia,1703008.0,-7.1745469630265575,-47.856840805758935
Bandeirantes Do Tocantins,1703057.0,-7.903150151624803,-48.67551878319603
Barra Do Ouro,1703073.0,-7.717833833555956,-47.57862175400358
Barrolândia,1703107.0,-9.865846111290006,-48.79122504904584
Bernardo Sayão,1703206.0,-7.983500098219018,-48.969125776802834
Bom Jesus Do Tocantins,1703305.0,-9.012401213238757,-47.87924287401145
Brasilândia Do Tocantins,1703602.0,-8.289928323937941,-48.44277513981242
Brejinho De Nazaré,1703701.0,-11.029382871546003,-48.6241813101706
Buriti Do Tocantins,1703800.0,-5.33763501320072,-48.13630277379972
Cachoeirinha,1703826.0,-6.089977314835648,-47.841343419697836
Campos Lindos,1703842.0,-8.203869570676895,-46.80461714144679
Cariri Do Tocantins,1703867.0,-11.933101318794039,-49.20284776023167
Carmolândia,1703883.0,-7.045206623887855,-48.3745792505179
Carrasco Bonito,1703891.0,-5.3370949753292685,-48.010037657413925
Caseara,1703909.0,-9.401696097684722,-49.84858355257404
Centenário,1704105.0,-9.073861586424327,-47.444806704631674
Chapada De Areia,1704600.0,-10.165830718172133,-49.195523752085776
Chapada Da Natividade,1705102.0,-11.541177181662182,-47.84649913328188
Colinas Do Tocantins,1705508.0,-8.0765331870193,-48.53012035924985
Combinado,1705557.0,-12.846357409552759,-46.50366399366723
Conceição Do Tocantins,1705607.0,-12.171206513693443,-47.30369126755125
Couto Magalhães,1706001.0,-8.436812344744647,-49.16239987548138
Cristalândia,1706100.0,-10.636434237563535,-49.312320367694944
Crixás Do Tocantins,1706258.0,-11.171872400514452,-49.07275828858502
Darcinópolis,1706506.0,-6.7634755369247035,-47.76781385611689
Dianópolis,1707009.0,-11.69509567106629,-46.796003266644995
Divinópolis Do Tocantins,1707108.0,-9.695224141974798,-49.354751743692084
Dois Irmãos Do Tocantins,1707207.0,-9.271064921597391,-49.06686539596049
Dueré,1707306.0,-11.427382820514076,-49.3912302441922
Esperantina,1707405.0,-5.326248947803125,-48.540258717712284
Fátima,1707553.0,-10.809803876670463,-48.87237894262175
Figueirópolis,1707652.0,-12.263538841901447,-49.28279115899469
Filadélfia,1707702.0,-7.496747396523396,-47.79376061717195
Formoso Do Araguaia,1708205.0,-11.958812060100268,-50.09827078978682
Tabocão,1708254.0,-9.071378099194911,-48.54597957379978
Goianorte,1708304.0,-8.873256105258923,-49.01117795244751
Goiatins,1709005.0,-8.09428954568418,-47.48152999177656
Guaraí,1709302.0,-8.738505518676233,-48.441736304101894
Gurupi,1709500.0,-11.651744426049426,-48.88746154414182
Ipueiras,1709807.0,-11.135041771020724,-48.40352522510484
Itacajá,1710508.0,-8.571575288071015,-47.66928938937259
Itaguatins,1710706.0,-5.8027264781666466,-47.59509469298736
Itapiratins,1710904.0,-8.31634542948671,-48.03329386706652
Itaporã Do Tocantins,1711100.0,-8.45134605825096,-48.75263261825891
Jaú Do Tocantins,1711506.0,-12.748075403790217,-48.645419648911506
Juarina,1711803.0,-8.140823998564777,-49.11034021365441
Lagoa Da Confusão,1711902.0,-11.035439307855766,-50.16084534316203
Lagoa Do Tocantins,1711951.0,-10.341944868887383,-47.48118253108967
Lajeado,1712009.0,-9.85052029611831,-48.290966595501196
Lavandeira,1712157.0,-12.81256182917039,-46.41055963845303
Lizarda,1712405.0,-9.525168584630174,-46.938912933509194
Luzinópolis,1712454.0,-6.206004398834325,-47.830710402792384
Marianópolis Do Tocantins,1712504.0,-9.787635394165765,-49.70004507720378
Mateiros,1712702.0,-10.58334924233649,-46.50271634811279
Maurilândia Do Tocantins,1712801.0,-6.023235518045667,-47.58999288643353
Miracema Do Tocantins,1713205.0,-9.754243257708902,-48.55152746677827
Miranorte,1713304.0,-9.416270677233207,-48.68365997180293
Monte Do Carmo,1713601.0,-10.747851283885856,-48.01722337583799
Monte Santo Do Tocantins,1713700.0,-9.999499968895881,-49.06733172705096
Palmeiras Do Tocantins,1713809.0,-6.600272458166556,-47.64272499891161
Muricilândia,1713957.0,-7.003305243677482,-48.78652701481586
Natividade,1714203.0,-11.798562087662557,-47.648851608476704
Nazaré,1714302.0,-6.330386833457678,-47.781437239568326
Nova Olinda,1714880.0,-7.637933339611149,-48.36070873310866
Nova Rosalândia,1715002.0,-10.549960405584509,-48.973234317988805
Novo Acordo,1715101.0,-10.155026945172676,-47.38296270755718
Novo Alegre,1715150.0,-12.914295242269954,-46.55962711173333
Novo Jardim,1715259.0,-11.7790925459456,-46.57047048017693
Oliveira De Fátima,1715507.0,-10.674433575896412,-48.87578550908354
Palmeirante,1715705.0,-7.886007713664777,-48.15634959535576
Palmeirópolis,1715754.0,-13.019876832671647,-48.34877958269826
Paraíso Do Tocantins,1716109.0,-10.218298472678152,-48.827303721348386
Paranã,1716208.0,-12.697084349399272,-47.813458084200185
